Rank,Popularity_Rank,Project_ID,Title,Cost_CHF,Total_Utility,Support_Count,Mean_Score,MES_Rho,MES_Winner,Greedy_Winner,Method_Agreement,Unified_Explanation_Version,Unified_Explanation_DE,Unified_Explanation_EN,Qualitative_Rationale_DE,Qualitative_Rationale_EN,Algorithmic_Rationale_DE,Algorithmic_Rationale_EN,Vote_Ja,Vote_EherJa,Vote_EherNein,Vote_Nein,supporter_budget_at_consideration,Efficiency
11,8,135,Tischtennis meets Kunst,8000,9,5,0.625,,No,No,Agree,3,"Den Leuten war wichtig, dass das Projekt Austausch, Vielfalt und Zusammenhalt im öffentlichen Raum fördert, einzelne fanden aber, dass man über den kulturellen Charakter streiten kann. Das Projekt war bei der Gruppe eher gut unterstützt (5 von 9 Personen), aber die 5 Unterstützerinnen und Unterstützer hatten zusammen nur rund 7'561 CHF zur Verfügung – zu wenig, um die vollen 8'000 CHF zu decken, darum konnte es im Verfahren nicht finanziert werden.","People appreciated that the project promotes exchange, diversity and togetherness in public space, although some questioned whether it really counts as a cultural offer. The project had decent support in the group (5 out of 9 people), but these supporters together only had about CHF 7,561 available – not enough to cover the full CHF 8,000 cost, so it could not be funded in the procedure.","Das Projekt 'Tischtennis meets Kunst' stoesst mit 5 von 9 Stimmen auf eine deutliche Mehrheit und wird insgesamt positiv bewertet (Durchschnittswert 0.62). Die Kommentare heben insbesondere Austausch, Personenvielfalt und die Nutzung des oeffentlichen Raums hervor. Zudem wird betont, dass das Projekt den gesellschaftlichen Zusammenhalt staerken kann. Einzelne Vorbehalte beziehen sich weniger auf das Angebot selbst als auf die Frage, ob es klar als kulturelles Angebot einzuordnen ist. Insgesamt zeigt sich eine klar mehrheitlich zustimmende Grundhaltung gegenueber dem Projekt.","The project 'Tischtennis meets Kunst' receives a clear majority with 5 out of 9 votes and is evaluated positively overall (mean score 0.62). Comments emphasize exchange, diversity of people, and the use of public space. It is also highlighted that the project can strengthen social cohesion. Reservations expressed are less about the project itself and more about whether it should be classified strictly as a cultural offering. Overall, the sentiment is clearly and predominantly supportive of the project.","Resultat für 'Tischtennis meets Kunst' (135): S Projekt isch nöd vo MES finanziert worde. D 5 Supporter hend zäme es Budget vo 7561.43 CHF gha, das het nöd glangt für d 8000 CHF.","Outcome for 'Tischtennis meets Kunst' (135): The project was not funded by MES. Its 5 supporters had a combined budget of 7561.43 CHF, which was not enough to cover 8000 CHF.",4,1,2,1,7561.4285714285725,888.89
12,11,074,Objektstudie Tisch,9692,7,5,0.375,,No,No,Agree,3,"Mehrere Personen fanden das Projekt interessant und wollten es sich nochmals anschauen, eventuell mit einem kleineren Budget. Es hatte mit 5 von 9 Unterstuetzenden eine gemischte, aber eher positive Resonanz. Allerdings reichte das gemeinsame Budget dieser Unterstuetzenden von rund 7'560 CHF nicht aus, um die Projektkosten von knapp 9'700 CHF zu decken, weshalb es im Verfahren nicht finanziert wurde.","Several people found the project interesting and wanted to look at it again, possibly with a reduced budget. It had mixed but rather positive support, with 5 out of 9 people in favour. However, the supporters’ combined budget of about CHF 7,560 was not enough to cover the project cost of just under CHF 9,700, so it was not funded in the process.","Das Projekt verzeichnet mit 5 von 9 Stimmen eine deutlich positive, mehrheitliche Unterstuetzung. Die durchschnittliche Bewertung ist zwar nur maessig, insgesamt ueberwiegt aber der Zuspruch. In den Kommentaren wird angeregt, das Projekt nochmals anzuschauen und gegebenenfalls das Budget zu kuerzen, was auf gewissen Optimierungsbedarf hinweist, ohne die grundsaetzliche Unterstuetzung in Frage zu stellen.","The project records clearly positive, majority support with 5 out of 9 votes. Although the mean score is only moderate, overall backing is more favorable than critical. Comments suggest reviewing the project again and possibly reducing the budget, indicating some desire for optimization without calling the fundamental support into question.","Das Projekt 'Objektstudie Tisch' (074) wurde nicht vom MES finanziert. Die 5 Unterstuetzer hatten zusammen ein Budget von 7'561.43 CHF, was nicht ausreichte, um die benoetigten 9'692 CHF zu decken.","The project 'Objektstudie Tisch' (074) was not funded by MES. Its 5 supporters had a combined budget of 7,561.43 CHF, which was not enough to cover the required 9,692 CHF.",2,3,2,1,7561.4285714285725,1384.57
13,12,029,Projektfläche 27,30000,6,6,0.333,,No,No,Agree,3,"Viele fanden das Projekt 'Projektfläche 27' wichtig: 6 von 9 Personen haben es unterstuetzt. Trotzdem konnte es nicht finanziert werden, weil die Unterstuetzerinnen und Unterstuetzer gemeinsam nur rund 10'952 CHF zur Verfuegung hatten, das Projekt aber 30'000 CHF gekostet haette. Damit reichte das verfügbare Budget deutlich nicht aus, um die Kosten zu decken.
","Many people saw 'Projektfläche 27' as important: 6 out of 9 participants supported it. However, it could not be funded because the supporters together had only about CHF 10,952 available, while the project would have cost CHF 30,000. So the available budget was clearly not enough to cover the costs.",Dieses Projekt wird von 6 von 9 Teilnehmenden unterstützt (Wertung: 0.33). Es wurden keine schriftlichen Kommentare hinterlassen.,This project is supported by 6 out of 9 participants (score: 0.33). No written comments were left.,"Das Projekt 'Projektfläche 27' (029) wurde von MES nicht finanziert. Die 6 Unterstuetzerinnen und Unterstuetzer verfuegten zusammen ueber ein Budget von 10'952.29 CHF, was nicht ausreichte, um die erforderlichen 30'000 CHF zu decken.","'Projektfläche 27' (029) was not funded by MES. Its 6 supporters had a combined budget of 10,952.29 CHF, which was not enough to cover the required 30,000 CHF.",0,6,3,0,10952.285714285716,5000.0
14,19,069,Error Bloom,5000,5,4,-0.333,,No,No,Agree,3,"Einige Leute fanden das Projekt interessant und wollten es sich nochmals genauer anschauen, insgesamt war die Unterstuetzung aber gemischt. Am Ende hatten die 4 Unterstuetzer zusammen nicht genug Budget, um die Projektkosten von 5'000 CHF zu decken, darum konnte „Error Bloom“ in dieser Runde nicht finanziert werden.","Some people found the project interesting and wanted to look at it again in more detail, but overall support was mixed. In the end, the 4 supporters did not have enough budget together to cover the 5,000 CHF project cost, so “Error Bloom” could not be funded in this round.","Das Projekt 'Error Bloom' (069) erhält mit 4 von 9 Stimmen eine beachtliche Unterstützung und damit eine klar positive Grundtendenz in der Abstimmung. Der durchschnittliche Score von -0.33 deutet zwar auf gewisse Vorbehalte oder kritische Bewertungen hin, insgesamt zeigt das Abstimmungsverhaeltnis jedoch, dass das Projekt einen relevanten Teil der Stimmberechtigten anspricht. Der Kommentar 'nochmals anschauen' weist zudem darauf hin, dass das Projekt als interessant genug wahrgenommen wird, um weiter geprueft oder vertieft betrachtet zu werden.","The project 'Error Bloom' (069) receives a solid level of support, with 4 out of 9 voters in favor, indicating a clearly positive tendency in the vote overall. Although the mean score of -0.33 suggests some reservations or critical evaluations, the voting ratio shows that the project appeals to a significant portion of participants. The comment 'nochmals anschauen' also suggests that the project is considered interesting enough to be reviewed or examined in more detail.","Das Projekt „Error Bloom“ (069) wurde nicht vom MES finanziert. Die 4 Unterstuetzer hatten zusammen ein Budget von 3896.76 CHF, was nicht ausreichte, um die erforderlichen 5000 CHF zu decken.","The project “Error Bloom” (069) was not funded by MES. Its 4 supporters had a combined budget of 3896.76 CHF, which was not enough to cover the required 5000 CHF.",1,3,2,3,3896.7619047619055,1000.0
15,15,142,Latin-Sounds,39500,5,5,-0.111,,No,No,Agree,3,"Mehrere Personen fanden die Idee spannend, hatten aber Bedenken, dass der religiöse und kulturelle Rahmen sowie der gewählte Ort nicht wirklich offen für Menschen mit unterschiedlichem Hintergrund sind. Obwohl 5 von 9 Personen das Projekt unterstützten (also eine eher gemischte, aber nicht schlechte Unterstützung), reichten ihre verfügbaren Beiträge von rund 9'600 CHF bei weitem nicht aus, um die Projektkosten von 39'500 CHF zu decken – deshalb konnte es im Verfahren nicht finanziert werden.","Several people found the idea interesting but were concerned that the religious and cultural setting and the chosen venue might not really be open to people from different backgrounds. Although 5 out of 9 people supported the project (so support was mixed but not low), the available supporter budget of about CHF 9,600 was far below the total project cost of CHF 39,500, so the project could not be funded in the process.","Das Projekt 'Latin-Sounds' weist mit 5 von 9 Stimmen eine solide Mehrheit an Unterstützung auf und kann als deutlich befürwortet gelten. Die durchschnittliche Bewertung von -0.11 signalisiert jedoch eine eher verhaltene Gesamteinschätzung. In den Kommentaren werden Bedenken geäussert, dass der religiöse und kulturelle Hintergrund des Projekts sowie der spezifische Ausführungsort den Austausch mit Personen anderer Hintergründe potenziell einschränken könnten. Zudem wird kritisch angemerkt, dass das Budget ausschliesslich über das Komitee finanziert werden soll und keine weiteren Finanzierungsquellen gesucht wurden, wobei die Kosten zwar als fair, aber relativ hoch eingeschätzt werden.","The project 'Latin-Sounds' has a solid majority support with 5 out of 9 votes and can be regarded as clearly favored overall. However, the mean score of -0.11 indicates a rather reserved overall assessment. In the comments, concerns are raised that the project’s religious and cultural background, as well as the specific venue, might limit exchange with people from different backgrounds. It is also criticized that the budget is to be covered exclusively by the committee without seeking additional funding sources, with costs perceived as fair but relatively high.","Das Projekt ""Latin-Sounds"" (142) wurde vom MES nicht gefoerdert. Die verfuegbaren 9620.95 CHF aus den Beitraegen von 5 Unterstuetzern reichten nicht aus, um das benoetigte Budget von 39500 CHF zu decken.","The project ""Latin-Sounds"" (142) was not funded by MES. The available 9,620.95 CHF from 5 supporters was not enough to cover the required budget of 39,500 CHF.",0,5,2,2,9620.952380952382,7900.0
16,21,038,Arbeitsbilder,26670,4,4,-0.556,,No,No,Agree,3,"Einige Teilnehmende fanden das Projekt interessant, die Unterstuetzung war aber insgesamt eher gering, und im Durchschnitt wurde es negativ bewertet. Die vier Unterstuetzerinnen und Unterstuetzer verfuegten zusammen nur ueber rund 8'480 CHF, was deutlich zu wenig war im Vergleich zu den beantragten 26'670 CHF – deshalb konnte das Projekt nicht ins Budget aufgenommen werden.","Some participants found the project interesting, but overall support was quite low and the average rating was negative. The four supporters together had a budget of only about CHF 8,480, which was far below the requested CHF 26,670, so the project could not be included in the budget.",Dieses Projekt wird von 4 von 9 Teilnehmenden unterstützt (Wertung: -0.56). Es wurden keine schriftlichen Kommentare hinterlassen.,This project is supported by 4 out of 9 participants (score: -0.56). No written comments were left.,"Das Projekt ""Arbeitsbilder"" (038) wurde von MES nicht gefoerdert. Die 4 Unterstuetzer verfuegten zusammen ueber ein Budget von 8’480.10 CHF, was nicht ausreichte, um die beantragten 26’670 CHF zu decken.","The project ""Arbeitsbilder"" (038) was not funded by MES. Its 4 supporters had a combined budget of 8,480.10 CHF, which was insufficient to cover the requested 26,670 CHF.",0,4,1,4,8480.095238095239,6667.5
17,16,024,Montagskonzerte,7000,4,4,-0.222,,No,No,Agree,3,"Einige Personen fanden die Montagskonzerte wichtig oder interessant, insgesamt gab es aber nur 4 von 9 Unterstützerinnen und Unterstützern, also eher gemischte Unterstützung. Das gemeinsame Budget dieser 4 Personen reichte mit rund 4'900 CHF nicht aus, um die Projektkosten von 7'000 CHF zu decken, deshalb konnte das Projekt im Verfahren nicht finanziert werden.","Some people considered the Montagskonzerte important or interesting, but overall only 4 out of 9 participants supported it, so backing for the project was mixed. The combined budget of these 4 supporters was about CHF 4,900, which was not enough to cover the CHF 7,000 project cost, so the project could not be funded in the process.",Dieses Projekt wird von 4 von 9 Teilnehmenden unterstützt (Wertung: -0.22). Es wurden keine schriftlichen Kommentare hinterlassen.,This project is supported by 4 out of 9 participants (score: -0.22). No written comments were left.,"Outcome für 'Montagskonzerte ' (024): Das Projekt wurde vom MES nicht finanziert. Die 4 Supporter hatten zusammen ein Budget von 4896.76 CHF, was nicht ausreichte, um die benötigten 7000 CHF zu decken.","Outcome for 'Montagskonzerte ' (024): The project was not funded by MES. Its 4 supporters had a combined budget of 4896.76 CHF, which was not enough to cover the required 7000 CHF.",0,4,4,1,4896.761904761906,1750.0
18,22,114,Zuhörraum,25000,4,3,-0.667,,No,No,Agree,3,"Einige Personen fanden die Idee interessant, waren aber unsicher, was konkret gemacht werden soll und kritisierten die Kostenaufstellung als widersprüchlich. Nur 3 von 9 Personen unterstützten das Projekt, und gemeinsam reichte ihr Budget bei weitem nicht aus, um die beantragten 25'000 CHF zu decken. Darum konnte das Projekt im Verfahren nicht finanziert werden.","Some people found the idea interesting but were unsure what would actually be done and criticised the cost breakdown as inconsistent. Only 3 out of 9 people supported the project, and their combined budget was far from enough to cover the 25,000 CHF requested. For this reason, the project could not be funded in the process.","Das Projekt erzielt mit 3 von 9 Stimmen einen moderaten Zustimmungsgrad und damit eine eher geteilte Bewertung. Der mittlere Score von -0.67 deutet auf eine tendenziell kritische Gesamtwahrnehmung hin. In den Kommentaren wird insbesondere bemängelt, dass das konkrete Vorhaben nicht klar nachvollziehbar sei und die Kostenaufstellung als widersprüchlich wahrgenommen werde.","The project achieves a moderate approval level with 3 out of 9 votes, indicating a rather mixed evaluation. The mean score of -0.67 points to an overall somewhat critical perception. In the comments, people mainly criticize that the concrete activities are not clearly understandable and that the cost breakdown appears inconsistent.","Das Projekt ""Zuhörraum"" (114) wurde nicht vom MES finanziert. Die 3 Supporter verfügten zusammen nur über ein Budget von 3422.57 CHF und konnten damit die benötigten 25000 CHF nicht decken.","The project ""Zuhörraum"" (114) was not funded by MES. Its 3 supporters had a combined budget of 3422.57 CHF, which was not enough to cover the required 25000 CHF.",1,2,2,4,3422.571428571429,6250.0
19,18,115,Wir sind viele,20000,4,4,-0.333,,No,No,Agree,3,"Einige fanden die Idee cool, stellten aber Fragen zu Verkaufspreis, Auflage (500 Exemplare) und zur Finanzierung der fehlenden 6'000 CHF. Insgesamt hatte das Projekt nur 4 von 9 Unterstützerinnen und Unterstützern, und ihr gemeinsames Budget von rund 7'500 CHF reichte deutlich nicht aus, um die beantragten 20'000 CHF zu decken. Darum konnte «Wir sind viele» in diesem Verfahren nicht finanziert werden.","Some people liked the idea, but they raised questions about the sales price, the print run of 500 copies, and where the missing 6,000 CHF would come from. In total, only 4 of 9 participants supported the project, and their combined budget of about 7,500 CHF was clearly not enough to cover the requested 20,000 CHF. For this reason, «Wir sind viele» could not be funded in this process.","Das Projekt 'Wir sind viele' weist mit 4 von 9 Stimmen eine relativ hohe Zustimmung im Gremium auf, auch wenn der durchschnittliche Score mit -0.33 eher leicht kritisch ist. Die Kommentare zeigen grundsätzlich Interesse an der Idee, fokussieren sich aber stark auf offene Fragen zur Finanzierung und zur Kalkulation, insbesondere zu Verkaufspreis, Auflage (500 Exemplare) und zur Deckung der fehlenden 6 000 CHF im Verhältnis zum beantragten Budget von 26 000 CHF. Insgesamt ist die Haltung verhalten positiv, jedoch mit deutlich formuliertem Klärungsbedarf bei Budget und Wirtschaftlichkeit.","The project 'Wir sind viele' shows a relatively high level of approval within the panel, with 4 out of 9 votes in favor, even though the mean score of -0.33 indicates a slightly critical overall rating. The comments express general interest in the idea but focus strongly on open questions regarding financing and calculation, in particular the sales price, the print run of 500 copies, and how the missing 6,000 CHF will be covered in relation to the requested budget of 26,000 CHF. Overall, the stance is cautiously positive, but with clearly stated needs for clarification regarding budget and economic viability.",Ergebnis für «Wir sind viele» (115): Das Projekt wurde vom MES nicht finanziert. Die 4 Unterstützer hatten zusammen ein Budget von 7'480.10 CHF und konnten damit die erforderlichen 20'000 CHF nicht decken.,"Outcome for “Wir sind viele” (115): The project was not funded by MES. Its 4 supporters had a combined budget of 7,480.10 CHF, which was not enough to cover the required 20,000 CHF.",0,4,3,2,7480.0952380952385,5000.0
20,23,042,Heftlabor,10400,3,3,-0.667,,No,No,Agree,3,"Die Leute fanden den Vorschlag schoen und sahen Potenzial, vor allem wenn das Werbebudget angepasst und gekuerzt wuerde, weil die zusaetzlichen 2'500 CHF die Reichweite stark erhoehen wuerden. Insgesamt hatte das Projekt aber nur wenig Unterstuetzung (3 von 9 Personen), und die verfuegbaren Mittel der Unterstuetzer reichten nicht aus, um die beantragten 10'400 CHF zu finanzieren.","People liked the idea and saw potential, especially if the advertising budget was adjusted and reduced, since the extra 2,500 CHF would greatly increase the reach. Overall, however, the project had only limited support (3 out of 9 people), and the available supporter budget was not enough to cover the requested 10,400 CHF, so it was not funded.","Das Projekt 'Heftlabor' erhielt mit 3 von 9 Stimmen eine moderate Unterstützung, wobei die durchschnittliche Bewertung mit -0.67 leicht negativ ausfiel. Der vorhandene Kommentar ist grundsaetzlich positiv: Er bezeichnet den Vorschlag als schoen und unterstuetzt das Projekt unter der Bedingung, dass das Werbebudget angepasst bzw. gekuerzt wird. Gleichzeitig wird betont, dass die zusaetzlichen 2'500 CHF die Reichweite des Projekts deutlich erhoehen wuerden. Insgesamt zeigt sich damit eine wohlwollende, aber an Budgetanpassungen geknuepfte Zustimmung.","The project 'Heftlabor' received moderate support with 3 out of 9 votes, while the mean score of -0.67 indicates a slightly negative overall rating. The available comment is broadly positive: it describes the proposal as good and supports it under the condition that the advertising budget is adjusted or reduced. At the same time, it emphasizes that the additional CHF 2,500 would significantly increase the project’s reach. Overall, the sentiment reflects a generally favorable but budget‑dependent approval.","Ergebnis für 'Heftlabor' (042): Das Projekt wurde nicht vom MES finanziert. Die 3 Supporter hatten zusammen ein Budget von 2442.57 CHF, was nicht ausreichte, um die 10400 CHF zu decken.","Outcome for 'Heftlabor' (042): The project was not funded by MES. Its 3 supporters had a combined budget of 2442.57 CHF, which was not enough to cover the 10400 CHF.",0,3,3,3,2442.571428571429,3466.67
21,20,118,Freiraum Spiel,9000,3,2,-0.556,,No,No,Agree,3,"Einige fanden die Idee von «Freiraum Spiel» cool, hatten aber Mühe mit der Kostenaufstellung und bemerkten eine Diskrepanz zwischen dem Antrag an die Stadt (4'000 CHF) und dem Budget (5'000 CHF). Insgesamt haben nur wenige Personen das Projekt unterstützt, und das gemeinsame Budget der 2 Unterstützerinnen und Unterstützer reichte mit rund 4'800 CHF nicht aus, um die beantragten 9'000 CHF zu decken, daher wurde es nicht finanziert.","Some people liked the idea of «Freiraum Spiel», but they found the cost breakdown hard to understand and noticed a mismatch between the amount requested from the city (4,000 CHF) and the budget (5,000 CHF). In the end, only a few people supported the project, and the two supporters together had about 4,800 CHF available, which was not enough to cover the requested 9,000 CHF, so it was not funded.","Die Zustimmung zum Projekt 'Freiraum Spiel' liegt bei 2 von 9 Stimmen und ist damit relativ gering. Dies spiegelt sich auch im durchschnittlichen Bewertungsscore von -0.56 wider, der auf eine insgesamt eher kritische Haltung der Abstimmenden hinweist. Inhaltlich wird die Idee grundsätzlich als interessant und 'coole Idee' wahrgenommen, jedoch gibt es deutliche Kritik an der Nachvollziehbarkeit der Kostenaufstellung. Zudem wird eine Diskrepanz zwischen dem im Antrag an die Stadt genannten Betrag (4000 CHF) und dem im Budget ausgewiesenen Betrag (5000 CHF) bemängelt, was Zweifel an der Budgetklarheit weckt.","Support for the project 'Freiraum Spiel' stands at 2 out of 9 votes, which is relatively low. This is consistent with the mean score of -0.56, indicating an overall rather critical stance among voters. In terms of content, the idea is seen as fundamentally interesting and a 'cool idea', but there is clear criticism regarding the comprehensibility of the cost breakdown. In addition, a discrepancy between the amount requested from the city (4000 CHF) and the amount shown in the budget (5000 CHF) is highlighted, raising concerns about budget clarity.","Ergebnis für «Freiraum Spiel» (118): Das Projekt wurde nicht vom MES finanziert. Die 2 Unterstuetzer hatten zusammen ein Budget von 4805.52 CHF, was nicht ausreichte, um die 9000 CHF zu decken.","Outcome for 'Freiraum Spiel' (118): The project was not funded by MES. Its 2 supporters had a combined budget of 4805.52 CHF, which was not enough to cover 9000 CHF.",1,1,6,1,4805.523809523809,3000.0
22,10,097,Auf der Station,13000,8,7,0.556,,No,No,Agree,3,"Viele fanden das Projekt wichtig: 7 von 9 Personen haben es unterstuetzt. Trotzdem konnte es nicht finanziert werden, weil diese 7 Personen gemeinsam nur rund 8'162 CHF zur Verfuegung hatten, das Projekt aber 13'000 CHF gekostet haette – es fehlten also fast 5'000 CHF.","Many people saw this project as important: 7 out of 9 participants supported it. However, it could not be funded because these 7 supporters together had only about CHF 8,162 available, while the project cost was CHF 13,000 – so almost CHF 5,000 were missing.",Dieses Projekt wird von 7 von 9 Teilnehmenden unterstützt (Wertung: 0.56). Es wurden keine schriftlichen Kommentare hinterlassen.,This project is supported by 7 out of 9 participants (score: 0.56). No written comments were left.,"Resultat für 'Auf der Station' (097): Das Projekt wurde nicht vom MES finanziert. Die 7 Unterstuetzer hatten zusammen ein Budget von 8161.86 CHF, was nicht reicht, um die benoetigten 13000 CHF zu decken.","Outcome for 'Auf der Station' (097): The project was not funded by MES. Its 7 supporters had a combined budget of 8,161.86 CHF, which was not enough to cover the required 13,000 CHF.",1,6,1,1,8161.857142857143,1625.0
23,9,070,Play Grid,8000,8,5,0.625,,No,No,Agree,3,"Viele fanden «Play Grid» wichtig und unterstützenswert: 5 von 9 Personen sprachen sich dafür aus, also eine eher hohe Zustimmung. Trotzdem konnte das Projekt nicht finanziert werden, weil die Unterstützerinnen und Unterstützer zusammen nur rund 6'359 CHF zur Verfügung hatten und damit die benötigten 8'000 CHF nicht ganz abdecken konnten.","Many people saw “Play Grid” as important and worth supporting: 5 out of 9 people backed the project, which is fairly strong support. However, it could not be funded because the supporters together had only about CHF 6,359 available, which was not enough to cover the required CHF 8,000.",Dieses Projekt wird von 5 von 9 Teilnehmenden unterstützt (Wertung: 0.62). Es wurden keine schriftlichen Kommentare hinterlassen.,This project is supported by 5 out of 9 participants (score: 0.62). No written comments were left.,Ergebnis für «Play Grid» (070): Das Projekt wurde von MES nicht finanziert. Die 5 Unterstuetzer hatten zusammen ein Budget von 6’359.24 CHF und konnten damit die geforderten 8’000 CHF nicht decken.,"Outcome for “Play Grid” (070): The project was not funded by MES. Its 5 supporters had a combined budget of 6,359.24 CHF, which was not enough to cover the required 8,000 CHF.",3,2,3,0,6359.238095238095,1000.0
24,24,106,Installation Himmel und Erde,14000,2,2,-0.889,,No,No,Agree,3,"Einige Personen fanden das Projekt spannend, waren aber unsicher, was genau geplant ist, und regten unter anderem an, das Budget zu kuerzen. Insgesamt hatte das Projekt nur wenig Unterstuetzung (2 von 9 Personen) und die Unterstuetzerinnen und Unterstuetzer hatten in diesem Moment kein Budget mehr zur Verfuegung, um die beantragten 14 000 CHF abzudecken. Deshalb konnte das Projekt in dieser Runde nicht finanziert werden.","Some people found the project interesting but were unsure what exactly was planned, and one comment suggested possibly reducing the budget. Overall, the project had little support (2 out of 9 people), and at the time of the decision the supporters had no remaining budget to cover the requested CHF 14,000. For these reasons, the project was not funded in this round.","Die Unterstützung für das Projekt ist insgesamt gering: Nur 2 von 9 Stimmberechtigten haben es positiv bewertet, und der durchschnittliche Score liegt mit -0.89 im negativen Bereich. In den Kommentaren wird deutlich, dass Unklarheit über das genaue Konzept besteht („Verstehe nicht ganz was das Projekt ist“) und zudem der Wunsch geäussert wird, das Budget allenfalls zu kürzen.","Overall support for the project is low: only 2 out of 9 voters rated it positively, and the mean score of -0.89 is negative. The comments indicate uncertainty about the concrete concept (“I do not really understand what the project is”) and a suggestion to possibly reduce the budget.","Das Projekt ""Installation Himmel und Erde"" (106) wurde nicht von MES gefoerdert. Die beiden Unterstuetzer verfuegten zusammen ueber 0.00 CHF Budget und konnten damit die erforderlichen 14 000 CHF nicht decken.","The project ""Installation Himmel und Erde! A vibrant, multidimensional art installation for Winterthur"" (106) was not funded by MES. Its two supporters had a combined budget of 0.00 CHF, which was not sufficient to cover the required 14,000 CHF.",0,2,4,3,0.0,7000.0
25,25,035,Ursprungsnote,15000,1,1,-1.0,,No,No,Agree,3,"Eine Person fand das Projekt wichtig und hat es unterstuetzt. Dieses Unterstuetzung reichte aber nicht aus, um die Kosten von 15'000 CHF zu decken, da das verfuegbare Budget dieser Person nur rund 1'160 CHF betrug. Deshalb konnte das Projekt im Verfahren nicht finanziert werden.","One person considered this project important and decided to support it. However, this support was not enough to cover the total cost of 15,000 CHF, as that person had only about 1,160 CHF available. For this reason, the project could not be funded in the process.",Dieses Projekt wird von 1 von 9 Teilnehmenden unterstützt (Wertung: -1.00). Es wurden keine schriftlichen Kommentare hinterlassen.,This project is supported by 1 out of 9 participants (score: -1.00). No written comments were left.,"Resultat für 'Ursprungsnote' (035): Das Projekt wurde vom EDK nicht finanziert. Die eine unterstützende Person hatte zusammen ein Budget von 1160.86 CHF, was nicht ausreicht, um die benötigten 15000 CHF zu decken.","Outcome for 'Ursprungsnote' (035): The project was not funded by MES. Its 1 supporter had a combined budget of 1,160.86 CHF, not enough to cover the required 15,000 CHF.",0,1,6,2,1160.8571428571431,15000.0
26,26,046,Spielfeld Schatten,18400,0,0,-1.333,,No,No,Agree,3,"Zu diesem Projekt gab es keine positiven Rueckmeldungen, im Durchschnitt wurde es eher kritisch bewertet. Da es niemand unterstuetzt hat und das Projekt mit 18'400 CHF vergleichsweise teuer war, wurde es im Rahmen des verfuegbaren Budgets nicht beruecksichtigt.","There was no positive feedback on this project, and on average it was rated rather critically. Since it received no support and was relatively expensive at CHF 18,400, it was not included within the available budget.",Dieses Projekt wird von 0 von 9 Teilnehmenden unterstützt (Wertung: -1.33). Es wurden keine schriftlichen Kommentare hinterlassen.,This project is supported by 0 out of 9 participants (score: -1.33). No written comments were left.,"Das Projekt ""Spielfeld Schatten"" (046) wurde nicht unterstuetzt. Entweder waren die Kosten von 18'400 CHF zu hoch oder das Budget war bereits ausgeschoepft.","The project ""Spielfeld Schatten"" (046) was not funded. Either it was considered too expensive at 18,400 CHF or available budgets had already been used up.",0,0,6,3,0.0,0.0
