Voter_ID,Project_ID,Title,Vote,Funded,Amount_Paid_CHF,Budget_Before_Step_CHF,Budget_After_Step_CHF,Voter_Endowment,Individual_Outcome_Reason_DE,Individual_Outcome_Reason_EN
MAP,012,Tanzfest Winterthur 2026,Ja,No,0.0,0.0,0.0,7539.0,"Das Projekt 'Tanzfest Winterthur 2026' (012) kostet 24000 CHF und hatte nur 4 Unterstuetzerinnen und Unterstuetzer. Bei der Verteilung der Mittel wurden zuerst andere Projekte mit mehr Unterstuetzung oder besserer Passung zum verfuegbaren Budget beruecksichtigt. Dadurch war dein persoenliches Budget am Schluss bereits auf 0.0 CHF aufgebraucht, bevor 'Tanzfest Winterthur 2026' an die Reihe kam. Darum konnte dieses Projekt vom MES nicht mehr finanziert werden.","The project 'Tanzfest Winterthur 2026' (012) costs 24000 CHF and had only 4 supporters. When funds were allocated, other projects with more support or a better fit to the available budget were prioritized first. As a result, your personal budget was already used up (0.0 CHF) before 'Tanzfest Winterthur 2026' was considered. That is why this project could not be funded by the MES."
MAP,112,Kulturnacht geht raus | Die Stadt ist unsere Bühne,Ja,No,0.0,0.0,0.0,7539.0,"Das Projekt 'Kulturnacht geht raus | Die Stadt ist unsere Bühne' (112) kostet 20000 CHF und hatte 4 Unterstuetzerinnen und Unterstuetzer. Dein persoenliches Budget war am Schluss bei 0.0 CHF, darum konntest du selbst nichts mehr dazu beitragen. In der Gesamtwertung haben andere Projekte mehr Unterstuetzung oder passten besser ins verfuegbare Gesamtbudget des MES. Darum wurde dieses Projekt trotz 4 Supportern und den veranschlagten 20000 CHF nicht ausgewaehlt.","The project 'Kulturnacht geht raus | Die Stadt ist unsere Bühne' (112) costs 20000 CHF and had 4 supporters. Your personal budget was already at 0.0 CHF, so you could not add anything to it yourself. In the overall evaluation, other projects received more support or fit better into the available overall MES budget. Therefore, this project, despite having 4 supporters and a cost of 20000 CHF, was not funded."
MAP,030,"rooting for me, for you",EherJa,No,0.0,0.0,0.0,7539.0,"Das Projekt 'rooting for me, for you' (030) kostet 8000 CHF und hatte 4 Unterstuetzerinnen und Unterstuetzer. Da dein persoenliches Budget bereits 0.0 CHF ist, konntest du diesem Projekt keinen Betrag mehr zuteilen. Zudem werden bei der MES zuerst Projekte mit mehr Unterstuetzung und innerhalb des verfuegbaren Gesamtbudgets finanziert. Darum wurde dieses Projekt am Schluss nicht beruecksichtigt.","The project 'rooting for me, for you' (030) costs 8000 CHF and had 4 supporters. Since your personal budget was already 0.0 CHF, you could not allocate any amount to this project. In addition, MES first funds projects that have more support and still fit into the available overall budget. For these reasons, this project was not funded in the end."
MAP,090,Charo – Kenya-Tag Winterthur ,Ja,No,0.0,0.0,0.0,7539.0,"Das Projekt 'Charo – Kenya-Tag Winterthur' kostet 25486 CHF und hatte nur 3 Unterstuetzerinnen und Unterstuetzer. Beim MES-Verfahren reicht das nicht: Es braucht genug Leute, die ein Projekt waehlen, und ihr gemeinsames Budget muss die 25486 CHF decken koennen. Weil sich nur 3 Personen gemeldet haben und dein eigenes Budget bereits bei 0.0 CHF ist, konnte nicht genug Geld zusammenkommen. Darum wurde dieses Projekt im MES nicht finanziert.","The project 'Charo – Kenya-Tag Winterthur' costs 25486 CHF and had only 3 supporters. In the MES procedure this is not enough: you need enough people choosing a project, and their combined budgets must be able to cover the 25486 CHF. Because only 3 people supported it and your own budget was already 0.0 CHF, there was not enough money to fund it. That is why this project was not financed in the MES."
MAP,092,Mitmachen,EherJa,No,0.0,0.0,0.0,7539.0,"Das Projekt 'Mitmachen' (092) kostet 7000 CHF und hatte nur 3 Unterstuetzerinnen und Unterstuetzer. Dein persoenliches Budget ist bereits aufgebraucht (0.0 CHF). Darum konnte die MES dieses Projekt nicht mehr beruecksichtigen: Es war im Vergleich zu anderen Vorhaben relativ teuer, hatte sehr wenig Rueckhalt und dein eigenes Budget haette dazu nichts mehr beitragen koennen.","The project 'Mitmachen' (092) costs 7000 CHF and had support from only 3 people. Your personal budget is already fully used (0.0 CHF). For this reason, MES could not fund this project: compared to other proposals it was relatively expensive, had very little backing, and your own budget could not contribute to it anymore."
MAP,067,Inklusive Trommelgruppe mit Gebärdensprache-Übersetzung ,Ja,No,0.0,0.0,0.0,7539.0,"Liebi MAP, din Lieblings-Projektvorschlag 'Inklusive Trommelgruppe mit Gebärdensprache-Übersetzung' (067) het leider kei Göld vom MES übercho. D Projekt hätt 12400 CHF koschtet, es hätt aber nume 6 Unterstützer gha. Will dini persönlechi Stimm-Budäts hetsch scho ganz ufbroucht (du hesch 0.0 CHF frei gha), hesch dem Projekt nüt meh chönne zueteile. S MES-System probiert mit em verfüegbare Göld möglichst vill vo de beliebschte Projekte z finanzierä. Bi dem Projekt sind d Unterstützig und s Budget aber z chli gsi, drum isches die Runde nöd zur Uuszahlige cho.","Dear MAP, your preferred project 'Inclusive drumming group with sign language interpretation' (067) unfortunately did not receive funding from the MES. The project would have cost 12,400 CHF, but it had support from only 6 people. Since you had already fully used up your personal voting budget (you had 0.0 CHF left), you could not allocate any more of your budget to this project. The MES system tries to fund as many of the most supported projects as possible with the available money. In this case, the combination of limited support and budget meant that this project was not selected for funding in this round."
MAP,017,Der Sound einer Stadt: Ein literarisch-intime Geschichtensammelaktion über die Musikstadt Winterthur,Ja,No,0.0,0.0,0.0,7539.0,"Das Projekt ""Der Sound einer Stadt: Ein literarisch-intime Geschichtensammelaktion über die Musikstadt Winterthur"" (017) kostet 8900 CHF und wurde nur von 2 Personen unterstuetzt. Deine eigene Stimme konntest du nicht mehr einbringen, weil dein Budget bereits bei 0.0 CHF war. In diesem Budgetverfahren zaehlen sowohl die Anzahl Unterstuetzer:innen wie auch das verfuegbare Geld. Da so wenig Leute Mittel zugesprochen haben und dein Budget aufgebraucht war, hat es am Schluss nicht gereicht, um das Projekt zu finanzieren.","The project ""Der Sound einer Stadt: Ein literarisch-intime Geschichtensammelaktion über die Musikstadt Winterthur"" (017) costs 8900 CHF and was supported by only 2 people. You could not add any funds yourself because your personal budget was already 0.0 CHF. In this budgeting process, both the number of supporters and the available money matter. Because so few people allocated funds and your budget was used up, there was not enough funding in the end to cover the 8900 CHF, so the project was not financed."
MAP,007,SubRock,EherJa,No,0.0,0.0,0.0,7539.0,"SubRock (007) het 7000 CHF kostet und isch nume vo 4 Lüt unterstützt worde. Mit dim verblibende Budget vo 0.0 CHF hets eifach nümme längt, zum das Projekt z finanzierä. Drum isch SubRock am Schluss nid vom MES berücksichtiget worde.","SubRock (007) cost 7000 CHF and was supported by only 4 people. With your remaining budget of 0.0 CHF, it simply was not possible to fund this project. That’s why SubRock was ultimately not financed by MES."
MAP,018,Wald verbindet: Vielfalt erleben im Waldbad,Ja,No,0.0,0.0,0.0,7539.0,"Das Projekt 'Wald verbindet: Vielfalt erleben im Waldbad' (018) kostet 1820 CHF und hatte 2 Unterstuetzerinnen und Unterstuetzer. Damit ein Projekt vom MES finanziert werden kann, muessen genug Leute einen Teil von ihrem persoenlichen Budget dafuer reservieren. Bei diesem Projekt war die Unterstuetzung mit 2 Personen zu klein, und dein eigenes Budget ist bereits bei 0.0 CHF. Deshalb konnte das Projekt im Gesamtbudget nicht mehr beruecksichtigt und nicht finanziert werden.","The project 'Wald verbindet: Vielfalt erleben im Waldbad' (018) costs 1820 CHF and had 2 supporters. For a project to be funded by the MES, enough people need to reserve part of their personal budget for it. In this case, support was too low with only 2 people, and your own budget is already at 0.0 CHF. Therefore, the project could not be included in the overall budget and was not funded."
MAP,116,"Boomerang ""alles kommt zurück""",EherJa,No,0.0,0.0,0.0,7539.0,"Das Projekt ""Boomerang 'alles kommt zurueck'"" (116) hat 9600 CHF gekostet und nur 2 Unterstuetzerinnen oder Unterstuetzer gefunden. Bei MES werden zuerst die Projekte gefoerdert, die genuegend Leute hinter sich vereinen und ins Budget passen. Dein persoenliches Budget ist schon bei 0.0 CHF, also kannst du diesem Projekt nichts mehr zuteilen. Weil insgesamt zu wenig Unterstuetzung da war und die verfuegbaren Gelder anderen Projekten mit mehr Rueckhalt zugesprochen wurden, blieb fuer dieses Projekt am Schluss kein Geld uebrig.","The project ""Boomerang 'alles kommt zurueck'"" (116) cost 9600 CHF and had support from only 2 people. In the MES process, projects that gather enough supporters and still fit within the available budget are funded first. Your personal budget is already at 0.0 CHF, so you cannot allocate anything more to this project. Because overall support for it was very low and the available funds went to other projects with more backing, there was no money left to fund this project."
MAP,124,Bild reagiert auf Gedicht,EherJa,No,0.0,0.0,0.0,7539.0,"MAP, dis Budget isch scho ufgebraucht (0.0 CHF), drum chasch du s Projekt 'Bild reagiert auf Gedicht' (124) im Wert vo 7600 CHF nümme unterstütze. Zudeem het s Projekt nume 1 Supporter, was zeigt, dass s nid gnue Rückhalt bi andere Stimmende gha het. Drum isches vom MES nöd berücksichtigt worde.","MAP, your budget is already used up (0.0 CHF), so you could no longer support the project 'Bild reagiert auf Gedicht' (124), which costs 7600 CHF. In addition, the project had only 1 supporter, which shows it didn’t have enough backing from other voters. For these reasons it was not funded by the MES."
PID,056,ANTE,Ja,Yes,1250.0,7539.0,6289.0,7539.0,,
PID,019,Winterthur Unplugged Festival,Ja,Yes,1375.0,6289.0,4914.0,7539.0,,
PID,126,Kulturbegleitung OnThur,Ja,Yes,4914.0,4914.0,0.0,7539.0,,
PID,040,15 Jahre Theater Ariane – wir feiern einen Begegnungsort,Ja,Yes,0.0,0.0,0.0,7539.0,,
PID,033,"Tatort Töss – Ein interaktiver Kinderkrimi zum lesen, entdecken und ermitteln im Stadtraum Töss",Ja,No,0.0,0.0,0.0,7539.0,"Das Projekt 'Tatort Töss – Ein interaktiver Kinderkrimi zum lesen, entdecken und ermitteln im Stadtraum Töss' (033) kostet 14000 CHF und hatte 4 Unterstuetzerinnen und Unterstuetzer. Damit es vom MES finanziert werden kann, braucht es genug Rueckhalt von vielen Personen und gleichzeitig muss in deinem persoenlichen Budget noch Geld frei sein. Beides war hier nicht erfuellt: Mit nur 4 Unterstuetzerinnen und Unterstuetzern hatte das Projekt zu wenig Stimmen, und dein eigenes Budget war bereits bei 0.0 CHF, also konntest du nichts mehr beitragen. Darum wurde dieses Projekt nicht beruecksichtigt.","The project 'Tatort Töss – Ein interaktiver Kinderkrimi zum lesen, entdecken und ermitteln im Stadtraum Töss' (033) costs 14000 CHF and had 4 supporters. For the MES to fund a project, it needs enough backing from many people, and at the same time each voter must still have money left in their personal budget. In this case, both conditions were not met: with only 4 supporters the project did not have enough support, and your own remaining budget was already 0.0 CHF, so you could not contribute anything. That is why this project was not funded."
PID,112,Kulturnacht geht raus | Die Stadt ist unsere Bühne,EherJa,No,0.0,0.0,0.0,7539.0,"Das Projekt 'Kulturnacht geht raus | Die Stadt ist unsere Bühne' (112) kostet 20000 CHF und hatte 4 Unterstuetzerinnen und Unterstuetzer. Damit es gefoerdert werden konnte, haette in deinem Budget noch Geld frei sein muessen. Dein verbleibendes Budget war aber 0.0 CHF, also konntest du dieses Projekt nicht mehr mitfinanzieren.","The project 'Kulturnacht geht raus | Die Stadt ist unsere Bühne' (112) costs 20000 CHF and had 4 supporters. For it to be funded, there would still have to be money left in your personal budget. Your remaining budget was 0.0 CHF, so you could not allocate any funds to this project."
PID,008,Clay connection - gemeinsam töpfern.,EherJa,No,0.0,0.0,0.0,7539.0,Das Projekt 'Clay connection - gemeinsam toepfern.' (008) kostet 10400 CHF und hatte 3 Supporter. Du hast dein ganzes Budget bereits fuer andere Projekte aufgebraucht (0.0 CHF uebrig). Darum konntest du dieses Projekt nicht mehr mitfinanzieren und es wurde vom MES nicht beruecksichtigt.,The project 'Clay connection - gemeinsam toepfern.' (008) costs 10400 CHF and had 3 supporters. You had already used up all your budget on other projects (0.0 CHF left). Therefore you could not help fund this project anymore and it was not selected by the MES.
PID,030,"rooting for me, for you",EherJa,No,0.0,0.0,0.0,7539.0,"Das Projekt 'rooting for me, for you' (030) kostet 8000 CHF und hatte nur 4 Unterstuetzerinnen und Unterstuetzer. Deine eigene Stimme konnte nicht mehr helfen, weil dein persoenliches Budget bereits bei 0.0 CHF war. Darum konnte das MES dieses Projekt mit 8000 CHF und nur 4 Supporterinnen und Supportern nicht beruecksichtigen.","The project 'rooting for me, for you' (030) costs 8000 CHF and had only 4 supporters. Your own vote could not help anymore because your personal budget was already at 0.0 CHF. For this reason, the MES could not fund this project with 8000 CHF and only 4 supporters."
PID,031,Rampensau,Ja,No,0.0,0.0,0.0,7539.0,Das Projekt 'Rampensau' (031) kostet 15000 CHF und hatte nur 3 Unterstuetzerinnen und Unterstuetzer. Mit deinem uebrigen Budget von 0.0 CHF konntest du dieses Projekt nicht mehr mitfinanzieren. Darum wurde es im MES nicht beruecksichtigt.,"The project 'Rampensau' (031) costs 15000 CHF and had only 3 supporters. With your remaining budget of 0.0 CHF, you could no longer co‑fund this project. That is why it was not funded in the MES."
PID,092,Mitmachen,Ja,No,0.0,0.0,0.0,7539.0,"Das Projekt 'Mitmachen' (092) kostet 7000 CHF und hatte nur 3 Unterstuetzerinnen und Unterstuetzer. Es wurde nicht vom MES finanziert, weil dein persoenliches Budget schon voll ausgeschoepft war (du hast 0.0 CHF uebrig) und damit kein Geld mehr von dir auf dieses Projekt entfallen konnte.","The project 'Mitmachen' (092) costs 7000 CHF and had only 3 supporters. It was not funded by the MES because your personal budget was already fully used (you have 0.0 CHF left), so no money from you could go to this project."
PID,007,SubRock,Ja,No,0.0,0.0,0.0,7539.0,"Projekt SubRock (007) kostet 7000 CHF und haette 4 Supporter gehabt. Du hast aber kei Budget meh gha (0.0 CHF). Drum isch dis frei waehlbaere Budget scho uufgebraucht gsi, bevor SubRock het cha beruecksichtigt werde, und sProjekt isch nid vom MES finanziert worde – nid will sschlecht isch, sondern will sGeld vo dine Mittel scho ganz anderswo iigsetzt gsi isch.","The SubRock (007) project costs 7000 CHF and would have had 4 supporters. But your remaining budget was 0.0 CHF. That means all of your available funds were already used up before SubRock could be considered, so the MES did not fund this project – not because it was a bad project, but because your budget was already fully allocated elsewhere."
JAM,095,Laternenumzug,Ja,Yes,760.0,7539.0,6779.0,7539.0,,
JAM,056,ANTE,Ja,Yes,1250.0,6779.0,5529.0,7539.0,,
JAM,019,Winterthur Unplugged Festival,EherJa,Yes,687.5,5529.0,4841.5,7539.0,,
JAM,126,Kulturbegleitung OnThur,Ja,Yes,4841.5,4841.5,0.0,7539.0,,
JAM,129,"""Vitodura zu Besuch"" - Szenischer Vortrag (Arbeitstitel)",EherJa,Yes,0.0,0.0,0.0,7539.0,,
JAM,081,Die grösste Wandzeitung Winterthurs,EherJa,No,0.0,0.0,0.0,7539.0,"JAM, dis Projekt 'Die groesste Wandzeitung Winterthurs' (081) het 7330 CHF koschtet und nume 4 Unterstuetzer gha. Will dini verblibendi Stimmbudget bi 0.0 CHF glegen isch, hesch du keis Budget gha, zum no es Teil vo däne 7330 CHF cha decke. Darum isch s Projekt vo dir nöd mitfinanziert worde.","JAM, your project 'Die groesste Wandzeitung Winterthurs' (081) cost 7330 CHF and had only 4 supporters. Since your remaining voting budget was 0.0 CHF, you had no funds left to cover any part of the 7330 CHF. That’s why this project did not receive funding from you."
JAM,094,Slamstörung – Poetry Slam x Mental Health,Ja,No,0.0,0.0,0.0,7539.0,"Das Projekt 'Slamstörung – Poetry Slam x Mental Health' (094) kostet 18300 CHF und hatte 5 Unterstuetzerinnen und Unterstuetzer. Dein persoenliches Budget ist bereits auf 0.0 CHF aufgebraucht, darum konntest du diesem Projekt kein Geld mehr zuteilen. Weil im MES-System nur Projekte gefoerdert werden koennen, denen genuegend Budget von den Stimmberechtigten zugeteilt wird, hat 'Slamstörung – Poetry Slam x Mental Health' am Schluss nicht genug Mittel erhalten und wurde deshalb nicht finanziert.","The project 'Slamstörung – Poetry Slam x Mental Health' (094) costs 18300 CHF and had 5 supporters. Your personal budget is already used up and is at 0.0 CHF, so you could not allocate any more money to this project. In the MES system, only projects that receive enough allocated budget from voters can be funded, and 'Slamstörung – Poetry Slam x Mental Health' did not reach the necessary amount in the end. That is why it was not funded."
JAM,104,Kreativwerkstatt,Ja,No,0.0,0.0,0.0,7539.0,"Das Projekt 'Kreativwerkstatt' (104) kostet 30724 CHF und hatte nur 5 Unterstuetzerinnen und Unterstuetzer. Im MES-Verfahren werden zuerst Projekte mit mehr Unterstuetzung und besserer Passung zum verfuegbaren Gesamtbudget beruecksichtigt. Dein persoenliches Budget ist bereits auf 0.0 CHF, das heisst, du konntest dieses Projekt nicht mehr mitfinanzieren. Zusammen mit der sehr geringen Anzahl von 5 Unterstuetzern reichte dies nicht, damit die 30724 CHF aus dem gemeinsamen Topf sinnvoll eingesetzt werden konnten – deshalb wurde das Projekt nicht finanziert.","The project 'Kreativwerkstatt' (104) costs 30724 CHF and had only 5 supporters. In the MES procedure, projects with more support and a better fit to the available overall budget are selected first. Your personal budget is already at 0.0 CHF, which means you could not contribute to this project anymore. Combined with the very low number of only 5 supporters, this was not enough to justify allocating the 30724 CHF from the common pot to this project – therefore it was not funded."
JAM,012,Tanzfest Winterthur 2026,EherJa,No,0.0,0.0,0.0,7539.0,"De Vorschlag 'Tanzfest Winterthur 2026' het 24000 CHF bracht und nume 4 Unterstuetzer gha. Das isch relativ viu Geld fuer es Projekt, wo nur ganz wenige Luet aktiv dra interessiert gsi sind. S Projekt isch drum im Verglyych zu andere Idee weniger priorisiert worde und het kei Beitraeg us em Budget uebercho. Din persoenlichi Budget-Topf isch imfall au scho ganz uusbracht (0.0 CHF), drum haesch vo dir uus gar nüt meh chenne i das Projekt investiere.","The proposal 'Tanzfest Winterthur 2026' cost 24000 CHF and had only 4 supporters. That is quite a lot of money for a project that only very few people actively backed. Compared to other ideas, it was therefore given lower priority and did not receive any funds from the budget. Your personal budget is also already fully used up (0.0 CHF), so you could not allocate anything to this project either."
JAM,030,"rooting for me, for you",EherJa,No,0.0,0.0,0.0,7539.0,"Das Projekt 'rooting for me, for you' (030) hat 8000 CHF gekostet und nur 4 Unterstuetzerinnen und Unterstuetzer gehabt. Mit so wenigen Leuten, die das Projekt aktiv wollten, war es im Vergleich zu anderen Projekten weniger breit abgestuetzt. Dazu kommt: Dein persoenliches Budget ist bereits bei 0.0 CHF, du konntest also selber nichts mehr dazu beitragen. Zusammengenommen – hohe Kosten (8000 CHF), nur 4 Unterstuetzer und kein verbleibendes Budget von dir – hat das dazu gefuehrt, dass das Projekt vom MES nicht finanziert wurde.","The project 'rooting for me, for you' (030) cost 8000 CHF and had only 4 supporters. With so few people actively backing it, the project had less broad support compared to others. On top of that, your personal budget is already at 0.0 CHF, so you could not contribute anything to it yourself. Taken together – the high cost (8000 CHF), only 4 supporters, and no remaining budget from you – this led to the project not being funded by MES."
JAM,031,Rampensau,EherJa,No,0.0,0.0,0.0,7539.0,Das Projekt 'Rampensau' (031) kostet 15000 CHF und hatte nur 3 Unterstuetzerinnen und Unterstuetzer. Mit deinem restlichen Budget von 0.0 CHF konntest du dieses Projekt nicht mehr mitfinanzieren. Darum wurde es vom MES nicht beruecksichtigt.,"The project 'Rampensau' (031) costs 15000 CHF and had only 3 supporters. With your remaining budget of 0.0 CHF, you could no longer contribute to this project. That is why it was not funded by the MES."
JAM,089,Winterthurer Druckwoche,EherJa,No,0.0,0.0,0.0,7539.0,"Liebi JAM, s Projekt 'Winterthurer Druckwoche' (089) het 15000 CHF chostet, aber nume 3 Unterstützer gha. Mit so wenig Lüüt, wo aktiv devo begeistert sind, hät s MES entschide, dass s Projekt nöd gnue Rückhalt i de Bevölkerig het. Du hesch au kei Budget meh frei gha (0.0 CHF), drum hesch nöd chöne zur Finanzierig biträge. Us däne Grund isch d Projekt am Schluss nöd finanziert worde.","Dear JAM, the project 'Winterthurer Druckwoche' (089) cost 15000 CHF but had only 3 supporters. With so few people actively backing it, the MES concluded that the project did not have enough support among the population. You also had no remaining budget (0.0 CHF), so you could not contribute to its funding. For these reasons, the project was ultimately not funded."
JAM,092,Mitmachen,EherJa,No,0.0,0.0,0.0,7539.0,"Lieber JAM, das Projekt 'Mitmachen' (092) kostet 7000 CHF und hatte nur 3 Unterstuetzerinnen und Unterstuetzer. In der Mittelverteilung (MES) wurden zuerst guenstigere Projekte mit mehr Unterstuetzung beruecksichtigt. Als dein Stimmguthaben verteilt war, war dein persoenliches Budget von 0.0 CHF erschoepft und es blieb kein Betrag mehr uebrig, um dieses Projekt mit 7000 CHF noch zu finanzieren. Darum konnte 'Mitmachen' trotz 3 Unterstuetzenden nicht beruecksichtigt werden.","Dear JAM, the project 'Mitmachen' (092) costs 7000 CHF and had only 3 supporters. In the funding process (MES), cheaper projects with broader support were prioritised first. By the time your votes were allocated, your personal budget of 0.0 CHF was used up and there was no money left to help fund this project with 7000 CHF. That is why 'Mitmachen' could not be funded, even though it had 3 supporters."
JAM,067,Inklusive Trommelgruppe mit Gebärdensprache-Übersetzung ,EherJa,No,0.0,0.0,0.0,7539.0,"Liebi JAM, dis Projekt 'Inklusive Trommelgruppe mit Gebärdensprache-Übersetzung' (067) het 12400 CHF koschtet und nume 6 Supporter gha. Will dis ganzes Budget scho ufgebraucht isch (du hesch 0.0 CHF verblibe), hesch du für die 12400 CHF kei Mittel meh chönne zuewidme. Darum isch das Projekt vo dir nöd mitfinanziert worde.","Dear JAM, your project 'Inclusive Drum Group with Sign Language Translation' (067) cost 12400 CHF and had 6 supporters. Since your full budget was already used up (you had 0.0 CHF remaining), you could not allocate any funds to cover the 12400 CHF. That is why this project was not funded by you."
JAM,017,Der Sound einer Stadt: Ein literarisch-intime Geschichtensammelaktion über die Musikstadt Winterthur,EherJa,No,0.0,0.0,0.0,7539.0,"Das Projekt 'Der Sound einer Stadt: Ein literarisch-intime Geschichtensammelaktion über die Musikstadt Winterthur' (017) konnte nicht mit Mitteln vom MES unterstuetzt werden. Einerseits lag der Projektbetrag bei 8900 CHF, andererseits hatte das Projekt nur 2 Unterstuetzerinnen und Unterstuetzer. Da deine persoenliche Stimmbeteiligung bereits voll ausgeschoepft ist (dein restliches Budget betraegt 0.0 CHF), konntest du dem Projekt selbst auch nichts mehr zuteilen. Kombination aus hohem Betrag, sehr wenigen Unterstuetzenden und deinem aufgebrauchten Budget fuehrte dazu, dass dieses Projekt nicht beruecksichtigt wurde.","The project 'Der Sound einer Stadt: Ein literarisch-intime Geschichtensammelaktion über die Musikstadt Winterthur' (017) could not be funded by the MES. The requested amount was 8900 CHF, and the project had support from only 2 people. Since your personal voting budget was already fully used (your remaining budget is 0.0 CHF), you could not allocate anything to this project yourself. The combination of the relatively high amount requested, the very low number of supporters, and your exhausted budget meant that this project was not selected for funding."
JAM,136,CREAcTION,EherJa,No,0.0,0.0,0.0,7539.0,"Das Projekt 'CREAcTION' (136) wurde vom MES nicht finanziert, weil es 40000 CHF kostet, aber nur 3 Unterstuetzer hatte. Mit so wenigen Unterstuetzern im Vergleich zu den Kosten schneidet das Projekt im Ranking schlechter ab als andere Vorschlaege. Zudem ist dein verfuegbares Budget bereits 0.0 CHF, darum kannst du dieses Projekt nicht mehr mitfinanzieren.","The project 'CREAcTION' (136) was not funded by the MES because it costs 40000 CHF but had only 3 supporters. With so few supporters compared to its cost, the project ranked lower than other proposals. In addition, your remaining budget is already 0.0 CHF, so you cannot contribute to funding this project."
