Rank,Popularity_Rank,Project_ID,Title,Cost_CHF,Total_Utility,Support_Count,Mean_Score,MES_Rho,MES_Winner,Greedy_Winner,Method_Agreement,Unified_Explanation_Version,Unified_Explanation_DE,Unified_Explanation_EN,Qualitative_Rationale_DE,Qualitative_Rationale_EN,Algorithmic_Rationale_DE,Algorithmic_Rationale_EN,Vote_Ja,Vote_EherJa,Vote_EherNein,Vote_Nein,supporter_budget_at_consideration,Efficiency
11,11,012,Bewegungskörper,24000,5,4,0.286,,No,No,Agree,3,"Viele fanden das Tanzfest sehr passend zum Förderkompass: Kultur in der Öffentlichkeit, starke Gemeinschaft, Überraschung und Vielfalt wurden besonders positiv hervorgehoben. Obwohl die Unterstützung mit 4 von 7 Personen relativ hoch war, reichte das gemeinsame verfügbare Budget von rund 11'300 CHF nicht aus, um die vollen Projektkosten von 24'000 CHF zu decken, weshalb das Projekt in MES nicht finanziert wurde.","Many people felt that the dance festival fit the funding compass very well: culture in public space, strong community, surprise and diversity were highlighted as clear strengths. Although support was relatively high with 4 out of 7 people in favour, the supporters together had only about CHF 11,300 available, which was not enough to cover the full project cost of CHF 24,000, so the project was not funded in the MES outcome.","Das Projekt 'Bewegungskörper' (012) stoesst mit 4 von 7 Stimmen auf eine solide Mehrheit und damit auf klar positive Resonanz. Der Foerderkompass wird von den Kommentierenden als umfassend erfuellt wahrgenommen: Kultur in der Oeffentlichkeit, starke Gemeinschaft durch Austausch, Mut zur Ueberraschung, sowie Erfahren, Erleben, Anregen und Lernen und Kultur fuer Personenvielfalt werden explizit genannt. Besonders hervorgehoben wird, dass Musik und Tanz Menschen aus aller Welt verbinden und dass die diversen oeffentlichen Darbietungen an verschiedenen Plaetzen in Winterthur vielen Personen den Zugang ermoeglichen. Kritische Hinweise beziehen sich hauptsaechlich auf die Budgetgroesse bzw. die fehlende Lesbarkeit der Budgetangaben und die Frage, ob die Finanzierung (u. a. durch Stadt, Kanton, Migros, Stiftungen) bereits gesichert ist. Insgesamt ist die Stimmung klar positiv, mit inhaltlich hoher Uebereinstimmung mit den Foerderzielen und punktuellen Fragezeichen zur Budgetdimension und -transparenz.","The project 'Bewegungskörper' (012) receives clear positive feedback, with 4 out of 7 voters in support, indicating a solid majority. Commenters perceive the funding guidelines as thoroughly met: culture in public space, strong community through exchange, openness to surprise, as well as experiencing, learning and being inspired, and cultural diversity are all explicitly mentioned. It is particularly emphasised that music and dance connect people from all over the world, and that the various public performances at different locations in Winterthur give many people access to the event. Critical remarks focus mainly on the size of the budget or the fact that the budget is hard to read, and on whether financing (including from the city, canton, Migros and foundations) is already secured. Overall, the sentiment is clearly positive, with strong alignment to the funding compass and only selective concerns regarding budget size and transparency.","Das Projekt ""Bewegungskörper"" (012) wurde von MES nicht gefoerdert. Die 4 Unterstuetzer hatten zusammen ein Budget von 11313.00 CHF, was nicht ausreicht, um die erforderlichen 24000.00 CHF zu decken.","The project ""Bewegungskörper"" (012) was not funded by MES. Its 4 supporters had a combined budget of 11,313.00 CHF, which is not enough to cover the required 24,000.00 CHF.",1,3,3,0,11313.0,4800.0
12,14,033,Detektivspiel,14000,5,4,0.143,,No,No,Agree,3,"Viele fanden das Projekt schön, weil es Kinder und Familien zum gemeinsamen Lesen und Entdecken im öffentlichen Raum anregt und gut zum Förderkompass passt. Vier von sieben Personen unterstützten die Idee klar, doch ihre gemeinsamen Mittel von rund 11'300 CHF reichten nicht aus, um die geplanten 14'000 CHF zu decken. Deshalb konnte das Projekt trotz Sympathie nicht finanziert werden.","Many people liked this project because it encourages children and families to read and explore together in public space and fits well with the funding compass. Four out of seven people clearly supported the idea, but their combined budget of about CHF 11,300 was not enough to cover the planned CHF 14,000. For this reason, the project could not be funded despite the positive feedback.","Die Zustimmung zum Projekt ist mit 4 von 7 Stimmen mehrheitlich positiv. Das Projekt wird als schönes, sinnvolles Angebot im öffentlichen Raum wahrgenommen, das Familien ein gemeinsames Abenteuer ermöglicht und Kinder zum Lesen und Erkunden im Freien anregt – bewusst als Gegenpol zu Konsum und Medienpassivität. Mehrfach wird der starke Bezug zu den Zielen des Förderkompasses hervorgehoben (Kultur in der Öffentlichkeit, Mut zur Überraschung, Erfahren/Erleben/Anregen/Lernen), und das Budget gilt als plausibel, wobei ein Beitrag des Kulturkomitees als entscheidend für die Realisierung bewertet wird. Kritisch angemerkt wird, dass das Angebot thematisch und räumlich relativ spezifisch ist (Quartier Töss, Zielgruppe Kinder um 10 Jahre, Einzelperson als Trägerschaft). Insgesamt überwiegt jedoch die positive Beurteilung deutlich.","Support for the project is predominantly positive, with 4 out of 7 votes in favor. The project is seen as an attractive and meaningful offer in public space that allows families to experience an adventure together and encourages children to read and explore outdoors, explicitly countering consumerism and media passivity. Reviewers repeatedly emphasize its strong alignment with the funding compass (culture in public space, openness to surprise, experiencing/learning/being inspired), and the budget is considered plausible, with funding from the cultural committee viewed as essential for implementation. Some critical points mention that the project is relatively specific in terms of location and target group (Töss, children around 10 years, individual initiator). Overall, the positive assessment clearly predominates.","Das Projekt ""Detektivspiel"" (033) wurde von MES nicht finanziert. Die 4 Unterstuetzerinnen und Unterstuetzer verfuegten zusammen ueber ein Budget von 11’314.00 CHF und konnten damit die erforderlichen 14’000 CHF nicht decken.","The project ""Detektivspiel – An interactive children’s crime story for reading, discovering and investigating in the urban space of Töss"" (033) was not funded by MES. Its 4 supporters had a combined budget of 11,314.00 CHF, which was not enough to cover the required 14,000 CHF.",1,3,2,1,11314.0,2800.0
13,12,112,Museumsnacht,20000,5,4,0.143,,No,No,Agree,3,"Mehrere Personen fanden wichtig, dass die Museumsnacht einen niederschwelligen, vielfältigen Zugang zu Kultur im öffentlichen Raum bietet und Menschen jeden Alters anspricht. Das Projekt hatte also eher positive Rückmeldungen, wurde aber vom Algorithmus nicht finanziert, weil die vier Unterstützerinnen und Unterstützer zusammen nur rund 11'300 CHF einbringen konnten – deutlich weniger als die benötigten 20'000 CHF für das Projekt. Damit lag es in der Gruppe in der Kategorie „beliebt, aber im Rahmen dieses Budgets zu teuer“.","Several people highlighted that this Culture Night offers low‑threshold, diverse access to culture in public space and is open to people of all ages. So the feedback was rather positive overall, but the project was not funded by the algorithm because its four supporters together could cover only about CHF 11,300, clearly below the required CHF 20,000. Within the group, it therefore fell into the category of “popular, but too expensive within this budget”.","Die Zustimmung zum Projekt ist mit 4 von 7 Stimmen klar mehrheitlich. Inhaltlich wird besonders positiv hervorgehoben, dass Kultur in den öffentlichen Raum gebracht wird, den Austausch und eine starke Gemeinschaft fördert und Raum für Überraschung, Erfahren, Erleben, Anregen und Lernen bietet. Das Projekt wird als niedrigschwellig und inklusiv wahrgenommen, mit vielfältigem Zugang zu Kultur für Menschen jeden Alters und unterschiedlicher Hintergründe. Kritisch angemerkt wird der hohe Budgetbedarf bzw. der Charakter als Grossveranstaltung; zugleich wird betont, dass bereits Zusagen von Stadt, Kanton und Stiftungen bestehen und eine zusätzliche Förderung dennoch positiv gesehen wird – insbesondere im Hinblick auf den Jubiläumscharakter und die erweiterte Nutzung des öffentlichen Raums. Insgesamt ist die Stimmung deutlich positiv mit einzelnen Vorbehalten zur Finanzierung.","Support for the project is clearly majority-based, with 4 out of 7 votes in favor. Commenters particularly praise that it brings culture into public space, strengthens community and exchange, and creates room for surprise, experience, stimulation and learning. The project is perceived as low-threshold and inclusive, offering a diverse range of cultural access for people of all ages and backgrounds. Some reservations concern the large budget and the character as a major event; at the same time, it is noted that city, canton and foundations have already pledged support, and an additional grant is still viewed positively, especially due to the anniversary character and the extension into public space. Overall, the sentiment is clearly positive with some concerns focused on financing.","Das Projekt 'Museumsnacht' (112) wurde vom MES nöd finanziert. Dini vier Supporter händ zäme 11313.00 CHF zämmebracht, das isch z wenig für s Budget vo 20000 CHF gsi.","'Museumsnacht' (112) was not funded by MES. Its 4 supporters had a combined budget of 11,313.00 CHF, which was not enough to cover the required 20,000 CHF.",1,3,2,1,11313.0,4000.0
14,21,008,Tonfeld,10400,4,3,-0.286,,No,No,Agree,3,"Zum Projekt wurde positiv hervorgehoben, dass es Gemeinschaft, Austausch und Lernen fördert und Raum für Vielfalt bietet. Gleichzeitig fanden einige, dass es eher wie ein normaler Töpferkurs wirkt, zu spezifisch ist und nur den Teilnehmenden direkt zugutekommt. Am Ende unterstützten 3 von 7 Personen das Projekt, und ihr gemeinsames Budget reichte nicht aus, um die vollen Kosten von 10'400 CHF zu decken, weshalb es nicht finanziert wurde.","People appreciated that the project strengthens community, exchange and learning, and offers space for diversity. At the same time, some felt it was basically a regular pottery course, too specific, and that only the direct participants would benefit. In the end, 3 out of 7 people supported the project, and their combined budget was not enough to cover the full cost of CHF 10,400, so it was not funded.","Die quantitativen Bewertungen zeigen mit 3 von 7 Stimmen eine moderate Zustimmung zum Projekt, bei insgesamt eher verhaltener mittlerer Bewertung (Mean Score -0.29). In den Kommentaren werden insbesondere der Gemeinschaftsaspekt, das gemeinsame Erfahren, Erleben und Lernen sowie der Beitrag zu kultureller Vielfalt positiv hervorgehoben und klar im Sinne des Förderkompasses verortet. Kritische Stimmen stellen hingegen den Mehrwert gegenüber einem regulären Töpferkurs in Frage, empfinden das Angebot als zu spezifisch und monieren, dass der Nutzen vor allem den Teilnehmenden zugutekommt, ohne breitere Sichtbarkeit (z.B. durch Ausstellungen). Insgesamt ergibt sich ein gemischtes Bild: inhaltlich wird der Beitrag zu Gemeinschaft und kultureller Teilhabe anerkannt, gleichzeitig bestehen Zweifel an der Besonderheit und der Breitenwirkung des Projekts.","The quantitative assessments show moderate support for the project, with 3 out of 7 voters in favor and an overall rather restrained average rating (mean score -0.29). In the comments, the community-building aspect, the shared experience and learning, and the contribution to cultural diversity are highlighted positively and clearly linked to the funding guidelines. Critical remarks, however, question the added value compared to a regular pottery course, perceive the offer as too specific, and criticize that the benefits mainly accrue to the participants themselves without broader public visibility (e.g., exhibitions). Overall, the picture is mixed: the project is recognized for fostering community and cultural participation, while doubts remain about its distinctiveness and wider impact.","Ergebnis für «Tonfeld» (008): Das Projekt wurde nicht vom MES finanziert. Die 3 Unterstuetzer hatten zusammen ein Budget von 2779.25 CHF, was nicht ausreichte, um die erforderlichen 10400 CHF zu decken.","Outcome for 'Tonfeld' (008): The project was not funded by MES. Its 3 supporters had a combined budget of 2779.25 CHF, which was not enough to cover the required 10400 CHF.",1,2,2,2,2779.25,2600.0
15,18,030,Wurzelshift,8000,4,4,-0.143,,No,No,Agree,3,"Mehrere Personen fanden das Thema und die nonverbale Form der Performance spannend und sahen darin ein Angebot für ein vielfältiges Publikum im öffentlichen Raum, andere wurden jedoch nicht richtig warm damit und stellten vor allem die hohen Lohnkosten für eine einzelne Tänzerin in Frage. Insgesamt war die Unterstützung gemischt (4 von 7 Personen), und als das Projekt an der Reihe war, stand für seine Unterstützer kein Budget mehr zur Verfügung (0 CHF gegenüber den benötigten 8'000 CHF), darum konnte es trotz gewisser Beliebtheit nicht finanziert werden.","Several people found the theme and the non-verbal form of the performance exciting and valued it as an offer for a diverse audience in public space, while others did not really connect with it and mainly questioned the high personnel costs for a single dancer. Overall, support was mixed (4 out of 7 people), and when it was considered, the supporters had no budget left (0 CHF compared to the required 8,000 CHF), so it could not be funded despite some popularity.","Die quantitativen Daten zeigen eine eher positive Gesamtbewertung: 4 von 7 Personen unterstuetzen das Projekt, was auf eine solide Zustimmung innerhalb der Gruppe hinweist. Die mittlere Punktzahl von -0.14 spiegelt eine leicht kritische Tendenz wider, was auf gewisse Vorbehalte in der Bewertung hindeutet, ohne dass das Projekt insgesamt abgelehnt wird. In den Kommentaren wird das Thema der nonverbalen Performance als spannend und inklusiv wahrgenommen, insbesondere im Hinblick auf Kultur in der Oeffentlichkeit, Mut zur Ueberraschung, Erleben und Lernen sowie Kultur fuer Personenvielfalt. Positiv hervorgehoben werden die Moeglichkeiten, Menschen jeden Alters durch Musik, Bewegung und Emotion zu erreichen. Kritisch angemerkt werden hingegen das Fehlen eines geplanten Austauschs im Anschluss an die Performance, persoenliche Distanz zum Projekt („ich werde nicht warm mit dem Projekt…“) sowie Fragen zur Verhaeltnismaessigkeit der Lohnkosten fuer eine Einzeltänzerin und zur Eintrittsgestaltung. Insgesamt ueberwiegt eine sachlich-positive Grundhaltung, die das Potential des Projekts fuer oeffentliche, vielfaeltige Kulturformate anerkennt, waehrend organisatorische und finanzielle Aspekte teilweise skeptisch betrachtet werden.","The quantitative data indicate a generally rather positive assessment: 4 out of 7 people support the project, which reflects a solid level of approval within the group. The mean score of -0.14 suggests a slightly critical tendency, pointing to some reservations without an overall rejection of the project. In the comments, the theme of the nonverbal performance is perceived as exciting and inclusive, especially with regard to culture in public spaces, openness to surprise, experience and learning, and cultural offerings for a diverse audience. Reviewers highlight positively that people of all ages can be reached through music, movement, and emotion. Critical points include the lack of a planned discussion or exchange after the performance, a personal sense of distance from the project (""I do not really connect with it""), and concerns about the proportionality of personnel costs for a solo dancer and about ticket pricing. Overall, the tone is factually positive, recognizing the project’s potential for public, diversity‑oriented cultural formats, while remaining somewhat skeptical regarding organizational and financial aspects.","Resultat für 'Wurzelshift' (030): Das Projekt wurde vom MFE nid finanziert. Di 4 Supporter hend zäme es Budget vo 0.00 CHF ghaa, das het nid glangt für d nötige 8000 CHF.","Outcome for 'Wurzelshift' (030): The project was not funded by MES. Its 4 supporters had a combined budget of 0.00 CHF, which was not enough to cover 8000 CHF.",0,4,1,2,0.0,2000.0
16,17,031,Vorderkante,15000,4,3,-0.143,,No,No,Agree,3,"Zu 'Vorderkante' wurde positiv hervorgehoben, dass das Projekt Mut zur Überraschung zeigt und als Startrampe für Newcomer-Künstlerinnen und -Künstler dienen kann; das Budget wurde als nachvollziehbar beschrieben. Gleichzeitig gab es Bedenken, ob wirklich ein wertschätzender, sicherer Austausch entsteht und ob einzelne Elemente (z.B. Formulierungen im Feedback, Professionalität/Eintrittspreise) passend sind. Insgesamt unterstützten nur 3 von 7 Personen das Projekt, und mit ihrem gemeinsamen Budget von rund 4'500 CHF hätte man die beantragten 15'000 CHF nicht decken können, darum wurde es nicht finanziert.","For 'Vorderkante', people liked the courage to surprise and the idea of offering a launchpad for newcomer artists; the budget was seen as understandable. At the same time, there were concerns about whether the project really creates respectful, safe exchange and whether some elements (e.g. wording in the feedback, level of professionalism/ticket prices) are appropriate. In total, only 3 out of 7 people supported the project, and their combined budget of about CHF 4,500 was not enough to cover the requested CHF 15,000, so it was not funded.","Die quantitativen Bewertungen zeigen eine gemischte, tendenziell leicht kritische Einschätzung: Nur 3 von 7 Stimmberechtigten unterstützen das Projekt, und der mittlere Score von -0.14 deutet auf eine eher verhaltene bis leicht negative Gesamtbewertung hin. Positiv hervorgehoben werden der Mut zur Überraschung sowie das Potenzial zum Erfahren, Erleben, Anregen und Lernen; das Projekt wird als Startrampe für Newcomer-Künstlerinnen und -Künstler gesehen, mit einem plausibel begründeten Budget. Kritisch hinterfragt wird jedoch, inwiefern tatsächlich ein wertvoller Austausch stattfindet, da Feedback nicht automatisch als Austausch verstanden wird. Zudem gibt es Vorbehalte gegenüber der Formulierung zum Gefühlszustand 2 („Das war wirklich schwach, hahaha“) und der Frage, ob ein sicherer, wertschätzender Rahmen für alle Auftretenden gewährleistet ist. Einzelne Stimmen empfinden das Projekt als zu professionell/teuer im Verhältnis zu den Eintrittspreisen und regen gegebenenfalls eine Reduktion der Förderung an.","The quantitative assessments indicate a mixed, slightly critical overall impression: Only 3 out of 7 voters support the project, and the mean score of -0.14 points to a rather reserved to slightly negative overall evaluation. On the positive side, voters highlight the courage to surprise and the potential for experiencing, stimulating and learning, and the project is seen as a launch platform for newcomer artists with a plausibly argued budget. However, it is questioned how far it truly offers valuable exchange, since feedback is not necessarily the same as dialogue. There are also concerns about the wording for emotional state 2 (“That was really weak, hahaha”) and whether a safe and appreciative environment is guaranteed for all performers. Some perceive the project as too professional/expensive relative to ticket income and suggest possibly reducing the level of funding.","Ergebnis fuer 'Vorderkante' (031): Das Projekt wurde nicht vom MES finanziert. Seine 3 Unterstuetzer hatten zusammen ein Budget von 4534.25 CHF, was nicht ausreichte, um die erforderlichen 15000 CHF zu decken.","Outcome for 'Vorderkante' (031): The project was not funded by MES. Its 3 supporters had a combined budget of 4534.25 CHF, which was not enough to cover the required 15000 CHF.",1,2,3,1,4534.25,3750.0
17,20,089,Print Cycle,15000,4,3,-0.286,,No,No,Agree,3,"Einige fanden die Print Cycle spannend, weil man eine seltene Drucktechnik lernen und das Atelier kennenlernen kann, andere schrieben aber, das Angebot sei zu spezialisiert und spreche sie persönlich weniger an. Insgesamt hatte das Projekt nur wenig Unterstützung (3 von 7 Personen), und das verfügbare Budget dieser Unterstützer reichte mit rund 2'800 CHF bei Weitem nicht, um die beantragten 15'000 CHF zu decken – darum konnte es im MES nicht finanziert werden.","Some people liked the Winterthur Printing Week because you can learn a rare printing technique and get insight into the studio, but others felt it was too specific and did not appeal to them personally. Overall, the project had only limited support (3 out of 7 people), and the supporters’ available budget of about 2,800 CHF was far from enough to cover the requested 15,000 CHF, so it could not be funded in the MES process.","Die Print Cycle erreicht mit 3 von 7 Stimmen einen moderaten Rückhalt in der Gruppe. Die durchschnittliche Bewertung von -0.29 weist auf eine eher verhaltene Gesamtresonanz hin. Inhaltlich wird positiv hervorgehoben, dass das Atelier seine Türen öffnet, Einblicke in die Druckarbeit gewährt und Lernen, Erfahren und Erleben einer speziellen Drucktechnik ermoeglicht. Das Projekt wird zudem als wertvolles, selten gewordenes Print-Projekt wahrgenommen und wirkt professionell. Kritisch angemerkt werden die hohe Spezifizitaet des Angebots, persoenlich fehlende Anknuepfungspunkte („spricht mich nicht so an“), hohe Matter Echolkosten sowie das aus Sicht einzelner Personen zu geringe Potenzial in den Bereichen „Mut zur Ueberraschung“, „Kultur in der Oeffentlichkeit“ und „Starke Gemeinschaft durch Austausch“. Insgesamt zeigt sich ein sachlich interessiertes, aber nicht begeistertes Stimmungsbild mit anerkanntem fachlichen Wert, jedoch begrenzter Breitenwirkung.","The Winterthur Print Week achieves a moderate level of support with 3 out of 7 votes. The mean score of -0.29 indicates a rather restrained overall response. On the positive side, participants value that the studio opens its doors, offers insight into printmaking work, and enables learning, experiencing, and deepening a specific printing technique. The project is also perceived as a rare remaining print initiative and comes across as professional. Critical remarks point to the high specificity of the offer, a lack of personal appeal for some (“does not really speak to me”), high material costs, and—according to some—limited potential regarding “courage to surprise”, “culture in public space”, and “strong community through exchange”. Overall, the sentiment is one of factual interest and recognition of professional quality, but without broad enthusiasm.","Das Projekt «Print Cycle» (089) wurde nicht vom MES finanziert. Die 3 Unterstuetzer hatten zusammen ein Budget von 2779.25 CHF, was nicht genug war, um die beantragten 15000 CHF zu decken.","The project “Print Cycle” (089) was not funded by MES. Its 3 supporters had a combined budget of 2,779.25 CHF, which was not enough to cover the requested 15,000 CHF.",1,2,2,2,2779.25,3750.0
18,19,090,Kulturtag Global Voices,25486,4,3,-0.286,,No,No,Agree,3,"Zum Projekt gab es grundsätzlich positive Rückmeldungen: Es wurde geschätzt, dass der Anlass vielfältige Einblicke, Begegnungen und Sinneserfahrungen bietet und damit Brücken zwischen verschiedenen Lebenswelten schlägt. Gleichzeitig gab es Kritik am hohen Budget und daran, dass das Projekt zu spezifisch und etwas vage wirkte; nur 3 von 7 Personen unterstützten es, und das verfügbare Budget dieser Unterstützer reichte klar nicht aus, um die vollen Kosten zu decken, darum wurde es nicht finanziert.","People generally reacted positively to the project: they liked the diverse activities, the flexible one-day format, and the way it creates encounters and insight into different life worlds. At the same time, the high budget and a sense that the project was too specific and a bit vague were seen as problems; only 3 out of 7 people supported it, and their available budget was clearly not enough to cover the full costs, so it was not funded.","Die quantitative Bewertung faellt gemischt aus: 3 von 7 Jurymitgliedern unterstuetzen das Projekt, waehrend der Mittelwert der Bewertungen mit -0.29 leicht negativ ist. In den Rueckmeldungen werden insbesondere die Aspekte ""Kultur in der Oeffentlichkeit"", Gemeinschaft durch Austausch, Vielfalt der Angebote und das Ermoeglichen von niederschwelliger Teilhabe positiv hervorgehoben. Das Projekt wird als vielseitig beschrieben, das Einblicke in andere Lebenswelten bietet und verschiedene Sinne anspricht. Kritisch angemerkt werden ein als hoch wahrgenommenes Budget sowie unklare bzw. schwer lesbare Budgetdetails, ausserdem wird das Projekt vereinzelt als zu spezifisch bzw. zu vage und zu teuer beurteilt. Insgesamt zeigt sich damit ein ambivalentes Stimmungsbild mit klar erkennbaren inhaltlichen Stärken, aber auch finanziellen und konzeptionellen Vorbehalten.","The quantitative assessment is mixed: 3 out of 7 panel members support the project, while the average score of -0.29 is slightly negative. In the feedback, positive emphasis is placed on aspects such as ""culture in public space"", community building through exchange, the variety of activities, and the low-threshold participation options. The project is described as diverse, offering insights into other life worlds and addressing multiple senses. Critical remarks concern a budget perceived as high and budget details that are unclear or hard to read; additionally, the project is sometimes seen as too specific or, conversely, too vague and too expensive. Overall, the sentiment is ambivalent, with clear thematic strengths but also reservations about financial and conceptual aspects.","Das Projekt 'Kulturtag Global Voices' (090) wurde nid vom MES finanziert. D 3 Supporter hend zäme 4534.25 CHF z Verfüegig gha, das isch z wenig im Verglich zu de nötige 25486 CHF.","'Kulturtag Global Voices' (090) was not funded by MES. Its 3 supporters had a combined budget of 4,534.25 CHF, which was not enough to cover the required 25,486 CHF.",1,2,2,2,4534.25,6371.5
19,16,092,Mitmachplattform,7000,4,3,-0.143,,No,No,Agree,3,"Zum Projekt «Mitmachplattform» wurde positiv hervorgehoben, dass es Austausch, gemeinsames Erleben und kulturelle Teilhabe fördert und damit zur Vielfalt beiträgt. Gleichzeitig wurde kritisch gesehen, dass das Angebot eher ein bestehendes Theaterpublikum anspricht, Kinder kaum erreicht und der Nutzen sehr auf die Teilnehmenden begrenzt bleibt. Am Ende hatten nur wenige Personen das Projekt unterstützt, und zum Zeitpunkt der Entscheidung standen den 3 Unterstützenden zusammen 0 CHF zur Verfügung, sodass die Kosten von 7'000 CHF nicht gedeckt werden konnten.","People appreciated that the project «Mitmachplattform» promotes exchange, shared experiences and cultural participation, and supports diversity. At the same time, they questioned whether it mainly reaches existing theatre-goers, does not really include children, and benefits only a small group of participants. In the end, only few people supported the project, and at the time of the decision the 3 supporters together had 0 CHF available, so the required 7,000 CHF could not be covered.","Die Unterstützung für das Projekt ist mit 3 von 7 Stimmen moderat, die Durchschnittsbewertung leicht negativ (−0.14). Inhaltlich werden positive Aspekte wie eine starke Gemeinschaft durch Austausch, gemeinsames Erfahren, Erleben, Anregen und Lernen sowie Kultur für eine diverse Bevölkerung betont. Gleichzeitig äussern einige Stimmberechtigte Zweifel an der konkreten Ausgestaltung: Die Schwelle zum Theaterbesuch werde zwar grundsätzlich gesenkt, aber es wird infrage gestellt, ob Workshops im Theater tatsächlich neue Zielgruppen erreichen oder eher bereits theateraffines Publikum anziehen. Kritisch erwähnt werden zudem eingeschränkte Teilnahmemöglichkeiten für Kinder, die starke Spezialisierung (Nutzen nur für Teilnehmende) und der fehlende öffentliche Mehrwert etwa über eine Ausstellung. Insgesamt ergibt sich ein gemischtes Stimmungsbild: inhaltlich werden Zielsetzung und Grundidee als sinnvoll wahrgenommen, während die praktische Reichweite und Offenheit des Formats skeptisch beurteilt werden.","Support for the project is moderate, with 3 out of 7 voters in favor and a slightly negative mean score (−0.14). Substantively, positive aspects are highlighted, such as building a strong community through exchange, shared experiences, inspiration and learning, and promoting culture for a diverse population. At the same time, some voters express doubts about the concrete design: while opening up the theater generally lowers the barrier to attending, it is questioned whether workshops held at the theater truly reach new audiences or mainly attract people already familiar with theater. Further criticism concerns limited participation opportunities for children, the strong specificity of the offer (benefits only for direct participants), and the lack of broader public impact, for example via exhibitions. Overall, the sentiment is mixed: the underlying goals and idea are seen as meaningful, but the practical reach and openness of the format are viewed with skepticism.",Ergebnis für «Mitmachplattform» (092): Das Projekt wurde nicht vom MES finanziert. Die 3 Unterstuetzer hatten zusammen ein Budget von 0.00 CHF und konnten damit die erforderlichen 7000 CHF nicht decken.,"Outcome for 'Mitmachplattform' (092): The project was not funded by MES. Its 3 supporters had a combined budget of 0.00 CHF, which was not enough to cover the required 7000 CHF.",1,2,3,1,0.0,1750.0
20,3,067,Theatergruppe All Inclusive,12400,7,6,0.857,,No,Yes,Disagree,3,"Viele fanden das Projekt stark, besonders wegen der inklusiven Idee, der spielerischen Gemeinschaft und der grossen Vielfalt an Menschen, die hier zusammenkommen koennten. Die Unterstuetzer waren sich also mehrheitlich einig, dass es gut zum Foerderkompass passt. Trotzdem konnte es nicht gefoerdert werden, weil die 6 Unterstuetzer mit zusammen 10'473 CHF die Projektkosten von 12'400 CHF nicht ganz decken konnten – es fehlten rund 1'900 CHF.","Many people really valued this project, especially its inclusive idea, the playful way it builds community, and the diversity of people it could bring together. So the supporters mostly agreed that it fits the funding guidelines well. However, it could not be funded because the 6 supporters together had a budget of 10,473 CHF, which was not enough to cover the project cost of 12,400 CHF – about 1,900 CHF were missing.","Die Zustimmung zum Projekt ist mit 6 von 7 Stimmen sehr hoch und fast einstimmig. Die Kommentare betonen eine starke Gemeinschaft durch Austausch, spielerische Inklusion und die Förderung von Personenvielfalt. Das Konzept wird als mutig und innovativ wahrgenommen, da es einen grossen Austausch zwischen sehr unterschiedlichen Menschen ermöglicht und viele Bereiche des Förderkompasses abdeckt (insbesondere Personenvielfalt, Gemeinschaft durch Austausch sowie Erfahren und Erleben). Das Budget wird als plausibel eingeschätzt, es gibt lediglich den Hinweis auf eine mögliche Reduktion um 20 %. Insgesamt ist die Stimmung deutlich positiv und unterstützend.","Support for the project is very high and nearly unanimous, with 6 out of 7 votes in favor. Comments highlight strong community building through exchange, playful inclusion, and the promotion of diversity. The concept is seen as bold and innovative, enabling broad interaction among very different groups and covering many dimensions of the funding compass (especially diversity of persons, community through exchange, and experiences). The budget is considered plausible, with only a suggestion of a possible 20% reduction. Overall, the sentiment is clearly positive and supportive.","Das Projekt ""Theatergruppe All Inclusive"" (067) wurde von MES nicht gefoerdert. Die 6 Unterstuetzer hatten zusammen ein Budget von 10'473.00 CHF, was nicht ausreichte, um die Kosten von 12'400.00 CHF zu decken.","The project ""Inclusive Drum Group with Sign Language Interpretation"" (067) was not funded by MES. Its 6 supporters had a combined budget of 10,473.00 CHF, which was not enough to cover the 12,400.00 CHF needed.",1,5,1,0,10473.0,1771.43
