Rank,Popularity_Rank,Project_ID,Title,Cost_CHF,Total_Utility,Support_Count,Mean_Score,MES_Rho,MES_Winner,Greedy_Winner,Method_Agreement,Unified_Explanation_DE,Unified_Explanation_EN,Qualitative_Rationale_DE,Qualitative_Rationale_EN,Algorithmic_Rationale_DE,Algorithmic_Rationale_EN,Vote_Ja,Vote_EherJa,Vote_EherNein,Vote_Nein
11,11,057,Blütenzeit,11920,6,5,0.571,,No,No,Agree,"Blütenzeit fand bei einem grossen Teil der Community Anklang: 5 von 7 Personen haben das Projekt unterstützt und vor allem seine inklusive Ausrichtung und den Austausch zwischen verschiedenen Bevölkerungsgruppen geschätzt, auch wenn einzelne Stimmen offene Fragen zur Einordnung als Kulturprojekt hatten. Trotz seiner vielen Unterstützerinnen und Unterstützer konnte das Projekt aufgrund des begrenzten Gesamtbudgets und anderer Prioritäten dieses Mal leider nicht realisiert werden.","Blütenzeit resonated strongly with the community: 5 out of 7 people supported the project and particularly valued its inclusive character and the exchange between different population groups, even though some voters still had open questions about its classification as a cultural project. Despite its many supporters, the project unfortunately could not be realized this time due to the limited overall budget and other priorities.","Das Projekt 'Blütenzeit' (057) stösst mit 5 von 7 Stimmen auf eine sehr hohe, nahezu einhellige Zustimmung. Der durchschnittliche Score von 0.57 spiegelt diese positive Gesamtbewertung wider. In den Kommentaren wird einerseits kritisch angemerkt, dass das Projekt eher als Sozialhilfe- denn als Kulturprojekt wahrgenommen und der kulturelle Output der Workshops als schwer beurteilbar eingeschätzt wird. Andererseits wird hervorgehoben, dass das Projekt inklusiv ist und den Austausch zwischen verschiedenen Bevölkerungsgruppen foerdert. Insgesamt ueberwiegt klar die Zustimmung zum Projekt.","The project 'Blütenzeit' (057) receives very high, nearly unanimous support, with 5 out of 7 voters in favor. The mean score of 0.57 reflects this overall positive assessment. In the comments, one voter is critical, seeing it more as a social support initiative than a cultural project and finding the cultural outcomes of the workshops hard to evaluate. Another comment emphasizes that the project is inclusive and promotes exchange between different population groups. Overall, support for the project clearly predominates.","Ergebnis für «Blütenzeit» (057): Das Projekt wurde nicht durch MES finanziert. Seine 5 Supporter hatten zusammen ein Budget von 6865.63 CHF, was nicht ausreichte, um die benötigten 11920 CHF zu decken.","Outcome for ‘Blütenzeit’ (057): The project was not funded by MES. Its 5 supporters had a combined budget of 6865.63 CHF, which was not enough to cover the required 11920 CHF.",1,4,2,0
12,14,062,Klangkartografien – hörbare Räume,7500,6,5,0.429,,No,No,Agree,"«Klangkartografien – hörbare Räume» hat mit 5 von 7 Stimmen sehr viel Rückhalt in der Gruppe erhalten und wurde vor allem für seinen öffentlichen, zugänglichen Ansatz geschätzt, auch wenn einige sich noch mehr Klarheit zum konkreten Ablauf und zur Ausgestaltung der Klangspaziergänge wünschten. Trotz dieser starken Unterstützung konnte das Projekt aufgrund des begrenzten Gesamtbudgets und anderer Prioritäten dieses Mal leider nicht realisiert werden.","“Klangkartografien – hörbare Räume” received strong backing with 5 out of 7 votes and was especially appreciated for its public and accessible concept, even though some people were still unsure about the concrete format and details of the sound walks. Despite this considerable support, the project unfortunately could not be carried out this time due to the limited overall budget and other priorities.","Die quantitativen Daten zeigen eine sehr hohe Zustimmung: 5 von 7 Abstimmenden unterstützen das Projekt, was auf eine fast geschlossene Zustimmung innerhalb der Gruppe hinweist. Die Kommentare schätzen besonders den offenen, öffentlichen Charakter und den spannenden konzeptionellen Ansatz. Gleichzeitig wird mehrfach betont, dass das Vorhaben inhaltlich und organisatorisch noch unausgereift wirkt: Unklar sind vor allem das genaue Konzept (wie das Erleben konkret aussieht, z.B. QR-Codes, Begleitung der Soundwalks) sowie Umfang und Orte der geplanten Konzerte. Insgesamt überwiegt jedoch die Zustimmung zum Projekt bei gleichzeitiger Erwartung einer deutlicheren Ausarbeitung und Praezisierung der Umsetzung.","The quantitative data indicate very high support: 5 out of 7 voters back the project, which reflects an almost unanimous approval within the group. Comments particularly value the public, accessible nature of the work and its intriguing conceptual approach. At the same time, several remarks stress that the project still appears underdeveloped in terms of content and organization: the concrete experience (e.g., use of QR codes, guided sound walks) as well as the number and locations of concerts remain unclear. Overall, support clearly predominates, accompanied by an expectation for a more thorough and precise elaboration of the implementation.","Das Projekt «Klangkartografien – hörbare Räume» (062) wurde von MES nicht finanziert. Die 5 Supporter hatten zusammen ein Budget von 6652.81 CHF und damit zu wenig, um die erforderlichen 7500 CHF zu decken.","The project “Klangkartografien – hörbare Räume” (062) was not funded by MES. Its 5 supporters had a combined budget of 6,652.81 CHF, which was not enough to cover the required 7,500 CHF.",1,4,1,1
13,9,117,Dialogplatzkonzerte 2027,15900,6,5,0.571,,No,No,Agree,"Die Dialogplatzkonzerte 2027 fanden bei der Mehrheit der Abstimmenden grossen Anklang: 5 von 7 Personen haben das Projekt unterstützt, auch wenn in den Kommentaren noch Fragen zu Umfang, Zeitaufwand und konkreten Daten offenblieben. Trotz seiner vielen Unterstützerinnen und Unterstützer konnte das Projekt dieses Mal aufgrund des begrenzten Gesamtbudgets und anderer Prioritäten leider nicht realisiert werden.","The Dialogplatz Concerts 2027 resonated strongly with the majority of voters: 5 out of 7 people supported the project, even though there were still open questions in the comments about scope, time investment, and concrete dates. Despite its many supporters, the project unfortunately could not be realized this time due to the limited overall budget and other priorities.","Das Projekt 'Dialogplatzkonzerte 2027' stoesst mit 5 von 7 Stimmen auf eine sehr hohe, nahezu geschlossene Zustimmung. Die Gesamtbewertung ist moderat positiv (durchschnittlicher Score 0.57). In den Rueckmeldungen wird grundsaetzlich anerkannt, dass es sich um ein qualitativ sinnvolles Kulturangebot im oeffentlichen Raum an einem schoenen Ort handelt. Kritische Punkte betreffen vor allem den hohen geplanten Aufwand fuer Planung, Aufbau und Abbau im Verhaeltnis zur Groesse des Dialogplatzes sowie den Wunsch nach einer Reduktion des Budgets um rund 20 %. Zudem wird um Praezisierung der Anzahl Konzerte und um konkrete Veranstaltungsdaten (z.B. Monate) gebeten, insbesondere vor dem Hintergrund, dass das Projekt bereits im Vorjahr gefoerdert wurde. Insgesamt ueberwiegt aber klar die Zustimmung, verbunden mit dem Wunsch nach Nachschaerfung von Budget, Zeitaufwand und Planungstransparenz.","The project 'Dialogplatzkonzerte 2027' receives very high, nearly unanimous support, with 5 out of 7 voters in favour. The overall rating is moderately positive (mean score 0.57). Feedback generally acknowledges that this is a meaningful cultural offering in a pleasant public space. Critical remarks focus mainly on the relatively high planned effort for planning, setup, and dismantling compared to the size of the venue, with a suggestion to reduce the budget by around 20%. There are also requests to clarify the exact number of concerts and to provide concrete event dates (e.g. specific months), especially given that the project already received funding last year. Overall, approval clearly dominates, with voters asking primarily for adjustments to the budget, time investment, and planning transparency.",Ergebnis für «Dialogplatzkonzerte 2027» (117): Das Projekt wurde vom MES nicht finanziert. Die 5 Unterstützer hatten zusammen ein Budget von 7’413.10 CHF und konnten damit die benötigten 15’900 CHF nicht decken.,"Outcome for “Dialogplatzkonzerte 2027” (117): The project was not funded by MES. Its 5 supporters had a combined budget of 7,413.10 CHF, which was not enough to cover the required 15,900 CHF.",1,4,2,0
14,13,103,ECHO – Listening Sessions & Gespräche,8500,6,4,0.429,,No,No,Agree,"ECHO – Listening Sessions & Gespraeche hat bei einem grossen Teil der Abstimmenden Anklang gefunden: 4 von 7 Personen wollten das Projekt mit ihrem Budget unterstuetzen, auch wenn es einzelne Fragen zur Anzahl Anlaesse und zur sehr spezifischen Zielgruppe gab. Trotz dieser klaren Unterstuetzung konnte das Projekt dieses Mal aufgrund des begrenzten Gesamtbudgets und anderer gesetzter Prioritaeten leider nicht realisiert werden.","ECHO – Listening Sessions & Conversations resonated strongly with a significant part of the voting group: 4 out of 7 people chose to support it with their budget, even though there were some questions about the exact number of events and the very specific target audience. Despite this clear backing, the project unfortunately could not be realized this time due to the limited overall budget and other funding priorities.","Das Projekt verzeichnet mit 4 von 7 Stimmen eine solide Zustimmung und damit eine eher positive Gesamtbewertung, was sich auch in der durchschnittlichen Punktzahl von 0.43 widerspiegelt. Kritisch angemerkt wird, dass mit den geplanten 6 Veranstaltungen nur rund 120 Personen erreicht werden und die Zielgruppe als sehr spezifisch wahrgenommen wird, was aus Sicht einiger nicht optimal zum ersten Schwerpunkt passt. Zudem besteht Unklarheit darueber, wie viele Treffen insgesamt tatsaechlich geplant sind. Insgesamt wird das Projekt tendenziell positiv bewertet, bei gleichzeitigem Wunsch nach klareren Angaben zu Umfang und Reichweite.","The project receives solid support, with 4 out of 7 voters in favor, reflecting an overall rather positive assessment, which is also mirrored in the mean score of 0.43. Critical remarks focus on the fact that the 6 planned events would reach only about 120 people and that the target group is seen as very specific, which some consider not entirely in line with the first thematic focus. There is also uncertainty about how many meetings are actually planned in total. Overall, the project is viewed somewhat positively, while there is a desire for clearer information on scope and reach.","Ergebnis für 'ECHO – Listening Sessions & Gespräche' (103): Das Projekt wurde von MES nicht finanziert. Die 4 Unterstuetzerinnen und Unterstuetzer verfuegten zusammen ueber ein Budget von 5207.73 CHF, was nicht ausreichte, um die beantragten 8500 CHF zu decken.","Outcome for 'ECHO – Listening Sessions & Gespräche' (103): The project was not funded by MES. Its 4 supporters had a combined budget of 5207.73 CHF, which was not enough to cover the requested 8500 CHF.",2,2,3,0
15,7,068,Freude und Heiterkeit in Alterszentren,15000,7,6,0.857,,No,No,Agree,"Das Projekt «Freude und Heiterkeit in Alterszentren» fand mit 6 von 7 Stimmen grosse Zustimmung in der Community und überzeugte viele, auch wenn es bei Themen wie Zielgruppe oder Sichtbarkeit noch offene Fragen gab. Trotz seiner vielen Unterstützerinnen und Unterstützer konnte das Projekt aufgrund des begrenzten Gesamtbudgets und anderer Prioritäten dieses Mal leider nicht realisiert werden.","The project ‘Joy and Cheerfulness in Retirement Homes’ received strong backing from the community, with 6 out of 7 people in favour, and it convinced many voters even though there were still some open questions around target audience and visibility. Despite its many supporters, the project unfortunately could not be realized this time due to the limited overall budget and other funding priorities.","Die Zustimmung zum Projekt ist mit 6 von 7 Stimmen sehr hoch bzw. nahezu einstimmig. Quantitativ wird das Projekt klar positiv bewertet (mittlere Bewertung 0.86). In den Kommentaren wird es als gelungene Verbindung von Kultur (Zirkus, Clowns) und sozialem Engagement beschrieben. Kritische Punkte betreffen eher die Ausrichtung: Die Aufführungen finden in Alterszentren statt und brauchen daher aus Sicht der Kommentierenden keine öffentliche Plakatwerbung, und die Zielgruppe wird nicht primär bei Menschen mit Migrationshintergrund gesehen. Zudem wird angemerkt, dass das Projekt vermutlich auch ohne Unterstützung des Komitees stattfinden würde. Insgesamt ist die Stimmung deutlich positiv, mit einigen Hinweisen zur Zielgruppe und zur Notwendigkeit der Förderung.","Support for the project is very high, with 6 out of 7 voters in favor, i.e. nearly unanimous approval. Quantitatively, the project is clearly rated positively (mean score 0.86). In the comments, it is described as a successful combination of culture (circus, clowns) and social engagement. Critical remarks focus more on its orientation: performances take place in care homes and therefore, in the commenters’ view, do not require public poster advertising, and the primary target group is not seen as people with a migration background. It is also noted that the project would likely take place even without the committee’s funding. Overall, the sentiment is clearly positive, with some reservations about target group alignment and the necessity of funding.","Das Projekt «Freude und Heiterkeit in Alterszentren» (068) wurde vom MES nicht finanziert. Die sechs Unterstuetzer brachten gemeinsam 7’293.62 CHF auf, was nicht ausreichte, um das Budget von 15’000 CHF zu decken.","The project “Freude und Heiterkeit in Alterszentren” (068) was not funded by MES. Its six supporters had a combined budget of 7,293.62 CHF, which was insufficient to cover the required 15,000 CHF.",1,5,1,0
16,15,134,Zeitspuren Konzertreihe,9200,5,4,0.286,,No,No,Agree,"Die Konzertreihe «Zeitspuren» hat mit 4 von 7 Stimmen eine beachtliche Unterstützung in der Community gefunden, auch wenn einzelne Votierende noch Fragen zu Budgetposten, Zielgruppe und Weiterführung hatten. Trotz ihrer vielen Unterstützerinnen und Unterstützer konnte die Reihe aufgrund des begrenzten Gesamtbudgets und anderer Prioritäten dieses Mal leider nicht realisiert werden.","The concert series «Zeitspuren» received strong backing from the community, with 4 out of 7 people in support, even though some voters still had questions about budget details, target audience and continuation of the project. Despite its many supporters, the series unfortunately could not be realized this time due to the limited overall budget and other funding priorities.","Die Konzertreihe 'Zeitspuren' erhaelt mit 4 von 7 Stimmen eine solide Mehrheit und damit eine klar eher positive Gesamtbewertung, auch wenn der durchschnittliche Punktescore moderat ausfaellt. In den Kommentaren werden vor allem Budgetfragen kritisch diskutiert: Es wird eine Reduktion des Budgets (insbesondere bei Uebernachtung und Verpflegung) angeregt sowie hinterfragt, ob das Projekt bei Nichtfinden weiterer Mittel fortgefuehrt werden kann. Zudem gibt es Vorbehalte gegen auslaendische Kuenstlerinnen und Kuenstler und Skepsis bezüglich der Zielgruppe, die als eher aelter und begrenzt eingeschaetzt wird. Gleichzeitig werden der Umfang mit 12 Konzerten und der strukturierte Aufbau (z.B. Archiv, Vermittlung und Folgeprojekte) anerkannt. Insgesamt ueberwiegt die Zustimmung, waehrend sich der kritischere Teil der Rueckmeldungen vor allem auf die Hoehe und Struktur des Budgets sowie die Reichweite der Zielgruppe konzentriert.","The concert series 'Zeitspuren' receives a solid majority with 4 out of 7 votes, indicating an overall rather positive assessment, even though the average score is moderate. The written feedback focuses mainly on critical questions about the budget: a reduction of costs (especially accommodation and catering) is suggested, and there is concern about whether the project can continue if no additional funding is secured. There are also reservations about involving foreign artists and skepticism regarding the target audience, which is seen as relatively older and limited in reach. At the same time, the scope of 12 concerts and the structured concept (e.g., archive, outreach, and follow-up projects) are acknowledged. Overall, support outweighs criticism, while the more critical remarks concentrate primarily on the budget level and structure as well as the project’s audience reach.","Das Projekt ""Zeitspuren Konzertreihe"" (134) wurde nicht vom MES finanziert. Die 4 Unterstuetzer verfuegten zusammen ueber ein Budget von 5039.25 CHF, was nicht ausreichte, um die erforderlichen 9200 CHF zu decken.","The project ""Zeitspuren Konzertreihe"" (134) was not funded by MES. Its 4 supporters had a combined budget of 5,039.25 CHF, which was not enough to cover the required 9,200 CHF.",1,3,3,0
17,18,050,30 Jahre Kurzfilmtage – Ein Pop-up Kino für Winterthur,30000,5,4,0.143,,No,No,Agree,"Das Pop-up-Kino zum Jubiläum der Kurzfilmtage hat bei der Mehrheit der Abstimmenden Anklang gefunden und wurde besonders dafür geschätzt, dass es Kurzfilmkunst sichtbar und niederschwellig in den öffentlichen Raum von Winterthur bringen möchte, auch wenn gleichzeitig Fragen zu Budgethöhe und Verhältnis von Aufwand und Ertrag gestellt wurden. Trotz dieser starken Unterstützung konnte das Projekt aufgrund des begrenzten Gesamtbudgets und anderer Prioritäten dieses Mal leider nicht realisiert werden.","The pop-up cinema for the Kurzfilmtage anniversary resonated with a clear majority of voters, who especially appreciated its idea of bringing short film art visibly and accessibly into Winterthur’s public space, even though some questions remained about the size of the budget and the balance between effort and impact. Despite this strong backing, the project unfortunately could not be realized this time due to the limited overall budget and other priorities.","Das Projekt geniesst mit 4 von 7 Stimmen eine klare Mehrheit und damit eine deutlich positive Grundhaltung. In den Kommentaren wird die Idee als ansprechend, originell und gut passend zu den Zielen ""Öffentlichkeit"" und ""Personenvielfalt"" beschrieben. Gleichzeitig wird mehrfach angeregt, das Budget etwas zu kürzen bzw. stärker durch andere Finanzierungsquellen (z.B. Eintrittsgelder, Kollekte) zu ergänzen, da Aufwand und Ertrag kritisch hinterfragt werden. Insgesamt ist die Bereitschaft zur Unterstützung klar erkennbar, bei gleichzeitiger Erwartung einer moderaten Budgetreduktion und einer sorgfältigen Ausgestaltung des Formats (Grösse/ Kapazität des Pop-up-Kinos, Verhältnis Kosten–Nutzen).","With 4 out of 7 votes, the project enjoys a clear majority and thus a distinctly positive overall stance. In the comments, the idea is described as appealing, original and well aligned with the aims of ""public visibility"" and ""diversity of people"". At the same time, several voters suggest a moderate budget reduction and stronger use of other funding sources (e.g. ticket income, collection), as the balance between effort and benefit is questioned. Overall, there is clear willingness to support the project, combined with an expectation of a somewhat leaner budget and a careful design of the format (size/capacity of the pop-up cinema, cost–benefit ratio).","Das Projekt ""30 Jahre Kurzfilmtage – Ein Pop-up Kino für Winterthur"" (050) wurde von MES nicht finanziert. Die 4 Unterstuetzer verfuegten zusammen ueber ein Budget von 4’031.69 CHF und konnten damit die erforderlichen 30’000 CHF nicht decken.","The project ""30 Jahre Kurzfilmtage – Ein Pop-up Kino für Winterthur"" (050) was not funded by MES. Its 4 supporters had a combined budget of 4,031.69 CHF, which was not sufficient to cover the required 30,000 CHF.",1,3,2,1
18,19,131,Das ist Meinung. Was ist Deinung?,13500,5,3,0.0,,No,No,Agree,"Das Projekt hat bei fast der Hälfte der beteiligten Personen Anklang gefunden, vor allem weil es als öffentliches Angebot mit Humor wahrgenommen wurde, auch wenn Fragen zu Kontext, Dauer und den hohen Kosten für die Schilder offenblieben. Trotz dieser spürbaren Unterstützung konnte das Projekt aufgrund des begrenzten Gesamtbudgets und anderer Prioritäten dieses Mal leider nicht realisiert werden.","The project resonated with almost half of the participants, who appreciated it as a humorous public intervention, even though questions about context, duration, and the high signage costs remained. Despite this clear support, the project unfortunately could not be realized this time due to the limited overall budget and other priorities.","Die Zustimmung zum Projekt ist mit 3 von 7 Stimmen relativ hoch. Die durchschnittliche Bewertung von 0.00 spiegelt eine gewisse Ambivalenz wider, dennoch überwiegt die proportionale Zustimmung. In den Kommentaren wird positiv hervorgehoben, dass das Projekt öffentlich wirksam ist und Menschen zum Laecheln bringen kann. Kritisch angemerkt werden der hohe Anteil der Kosten fuer die Schilderherstellung, der unklare Bezug zur Projektidee sowie der fehlende Kontext der Neonschrift und die nicht klar nachvollziehbare Dauer von fuenf Jahren. Insgesamt zeigt sich ein eher wohlwollendes, aber kontext- und kostenkritisches Stimmungsbild.","Support for the project is relatively high with 3 out of 7 votes in favor. The mean score of 0.00 indicates some ambivalence, but the proportional support is still notable. In the comments, people appreciate that the project is aimed at the public and can make people smile. On the critical side, they point to the high share of costs for producing the signs, the unclear connection between the sign and the broader project idea, the lack of contextual explanation for the neon text, and the not well-understood five-year duration. Overall, the sentiment is cautiously positive but critical regarding context and costs.",Das Projekt 'Das ist Meinung. Was ist Deinung?' (131) wurde nicht vom MES finanziert. Die drei Unterstuetzer verfuegten zusammen ueber ein Budget von 3699.45 CHF und konnten damit die erforderlichen 13500 CHF nicht decken.,"'Das ist Meinung. Was ist Deinung?' (131) was not funded by MES. Its three supporters had a combined budget of 3,699.45 CHF, which was not enough to cover the required 13,500 CHF.",2,1,3,1
19,17,099,Am selben Tisch – Ein Projekt für spontane Begegnungen und sozialen Austausch,28200,5,5,0.143,,No,No,Agree,"Das Projekt ""Am selben Tisch"" fand grossen Anklang: Eine deutliche Mehrheit von 5 von 7 Personen hat es unterstuetzt, auch wenn noch Fragen zu Budget, Zusammenarbeit mit der Gastronomie und zur praktischen Umsetzbarkeit offen waren. Trotz dieser vielen Befuerworterinnen und Befuerworter konnte das Projekt aufgrund des begrenzten Gesamtbudgets und anderer Prioritaeten dieses Mal leider nicht realisiert werden.","The project ""At the Same Table"" resonated strongly with the group: a clear majority of 5 out of 7 people supported it, even though there were still open questions about the budget, cooperation with the restaurant sector, and practical feasibility. Despite these many supporters, the project unfortunately could not be realized this time due to the limited overall budget and other priorities.","Die Zustimmung zum Projekt ist mit 5 von 7 Stimmen sehr hoch und zeigt eine beinahe einhellige Unterstuetzung. Die quantitative Bewertung (Durchschnittsscore 0.14) ist zwar eher verhalten, wird jedoch vom klar positiven Verhaeltnis der Ja-Stimmen uebertroffen. In den Kommentaren werden vor allem pragmatische Bedenken geaeussert: Das Budget koennte moeglicherweise reduziert werden, und es bestehen Fragen zur Abhaengigkeit von der lokalen Gastronomie (Bereitschaft zur Mitarbeit, moegliche Kostenbeteiligung, konkreter Mehrwert fuer Betriebe). Zudem wird in Frage gestellt, ob das Konzept bereits ausreichend getestet oder weiterentwickelt wurde und ob es genug interessierte Personen gibt, die tatsaechlich am Austausch teilnehmen moechten. Insgesamt ueberwiegt die grundsaetzliche Zustimmung deutlich, bei gleichzeitigem Hinweis auf Optimierungsbedarf in der Ausgestaltung und Umsetzbarkeit.","Support for the project is very high, with 5 out of 7 voters in favor, indicating nearly unanimous approval. While the mean score of 0.14 is rather cautious, the clearly positive ratio of yes-votes is the stronger signal. The written comments focus mainly on practical concerns: the budget might be reduced, and there are questions about the dependency on local gastronomy (willingness to participate, possible financial contribution, and concrete added value for businesses). It is also questioned whether the concept has been sufficiently tested or refined and whether there will be enough people genuinely interested in participating in such exchanges. Overall, the fundamental support is clearly strong, while commenters highlight the need to optimize the project’s design and feasibility.","Das Projekt ""Am selben Tisch – Ein Projekt für spontane Begegnungen und sozialen Austausch"" (099) wurde von MES nicht finanziert. Die 5 Unterstuetzerinnen und Unterstuetzer verfuegten zusammen ueber ein Budget von 5967.73 CHF und konnten damit die erforderlichen 28200 CHF nicht decken.","The project ""At the Same Table – A Project for Spontaneous Encounters and Social Exchange"" (099) was not funded by MES. Its 5 supporters had a combined budget of 5,967.73 CHF, which was not enough to cover the required 28,200 CHF.",0,5,0,2
20,21,027,Ein offenes Wohnzimmer für Kultur – KafiDia,20000,4,4,0.0,,No,No,Agree,"Das Projekt «Ein offenes Wohnzimmer für Kultur – KafiDia» hat mit 4 von 7 Stimmen gezeigt, dass die Idee eines offenen Kultur-Wohnzimmers im Quartier bereits jetzt bei vielen gut ankommt, auch wenn es Rückmeldungen zu Budgethöhe, Timing und Abgrenzung zu anderen Angeboten gab. Trotz dieser spürbaren Unterstützung konnte das Projekt aufgrund des begrenzten Gesamtbudgets und anderer Prioritäten dieses Mal leider nicht realisiert werden.","The project “An open living room for culture – KafiDia” received support from 4 out of 7 voters, showing that the idea of an open cultural living room in the neighbourhood already resonates with many people, even though there were questions about the budget size, timing, and overlap with other activities. Despite this clear support, the project unfortunately could not be realized this time due to the limited overall budget and other priorities.","Das Projekt verzeichnet mit 4 von 7 Stimmen eine relativ hohe Zustimmungsrate. Insgesamt wird die Idee eines offenen Wohnzimmers für Kultur positiv gesehen und als bereichernd für das Quartier eingeschätzt. Die kritischen Rückmeldungen betreffen weniger den Inhalt als die Rahmenbedingungen: Einige sehen den Startzeitpunkt als etwas früh, weil das KafiDia erst 2026 eröffnet, und empfinden das beantragte Budget als zu hoch für ein Start-up bzw. regen eine Kürzung (z.B. um rund 20 %) an. Zudem wird darauf hingewiesen, dass in der Lokstadt bereits mehrere kulturelle Veranstaltungen geplant sind und dass das Projekt eher als Teil der allgemeinen Quartierkultur denn als explizites ""Überraschungs""-Format wirkt. Insgesamt überwiegt jedoch die grundsätzliche Unterstützung, verbunden mit dem Wunsch nach einem moderateren Budget und einer stimmigen Einbettung in das bestehende Kulturangebot.","The project shows a relatively high level of approval, with 4 out of 7 votes in favor. Overall, the idea of an open living room for culture is viewed positively and is considered enriching for the neighborhood. Critical remarks focus less on the concept itself and more on the framework conditions: some see the start as somewhat premature, since KafiDia will only open in 2026, and feel that the requested budget is high for a start-up, suggesting a reduction (e.g., by around 20%). It is also noted that there are already several cultural events planned in Lokstadt, and that the project appears more like part of the general neighborhood culture than a distinct ""surprise"" format. Overall, however, there is clear basic support, coupled with a desire for a more moderate budget and coherent integration into the existing cultural offering.",Das Projekt «Ein offenes Wohnzimmer für Kultur – KafiDia» (027) wurde nicht vom MES finanziert. Die 4 Supporter hatten zusammen ein Budget von 4'420.55 CHF und konnten damit die erforderlichen 20'000 CHF nicht decken.,"The project “An open living room for culture – KafiDia” (027) was not funded by MES. Its 4 supporters had a combined budget of 4,420.55 CHF, which was not enough to cover the required 20,000 CHF.",0,4,2,1
21,20,121,GERICHTE UND GESCHICHTEN: Eine Kooperation mit dem Verein Solinetz Winterthur,7000,4,3,0.0,,No,No,Agree,"Das Projekt «GERICHTE UND GESCHICHTEN» hat mit 3 von 7 Stimmen deutlich gezeigt, dass seine Idee von gemeinsamen Begegnungen und Erzaehlraumen rund um das Essen in der Community Anklang gefunden hat, auch wenn einzelne Fragen – etwa zur genauen Zielgruppe, zur Gestaltung zwischen nicht oeffentlichem Rahmen und oeffentlichem Programm oder zur Verhaeltnismaessigkeit der Stiftungsgesuche – offen geblieben sind. Trotz dieser Unterstuetzung konnte das Projekt aufgrund des begrenzten Gesamtbudgets und anderer Prioritaeten dieses Mal leider nicht umgesetzt werden.","The project “GERICHTE UND GESCHICHTEN” clearly resonated within the community, with 3 out of 7 people supporting its idea of shared encounters and storytelling around food, even though some questions remained open – for example regarding the exact target group, the shift from non-public to public programming, and the proportionality of the foundation applications. Despite this support, the project unfortunately could not be realized this time due to the limited overall budget and other priorities.","Die Unterstützung für das Projekt ist mit 3 von 7 Stimmen relativ hoch, also knapp bei der Hälfte der Bewertenden. Die durchschnittliche Punktzahl liegt bei 0.00, was auf eine insgesamt verhaltene bis neutrale Bewertung hinweist. In den Kommentaren wird vor allem kritisiert, dass unklar ist, wie viele Personen von den vier Veranstaltungen konkret profitieren, wie sich der nichtöffentliche Charakter mit einem öffentlichen Rahmenprogramm vereinbaren laesst und ob sich die Zielgruppe von derjenigen des Vereins Solinetz unterscheidet. Zudem wird vorgeschlagen, das Budget um etwa 20 % zu kürzen, da die Foerderanfragen im Verhältnis als zu hoch empfunden werden. Insgesamt zeigt sich also eine gemischte, eher kritische inhaltliche Bewertung bei gleichzeitig bemerkenswertem Anteil an Ja-Stimmen.","Support for the project is relatively high at 3 out of 7 votes, i.e. close to half of all voters. The mean score of 0.00, however, indicates an overall reserved to neutral assessment. In the comments, critics mainly question how many people will concretely benefit from the four events, how a non-public event format fits with a public framework program, and whether the target group differs from that of the association Solinetz. In addition, one suggestion is to cut the budget by about 20 %, as the funding requests are perceived as disproportionately high. Overall, the sentiment is mixed and rather critical in terms of content, while still showing a notable share of yes-votes.","Das Projekt 'GERICHTE UND GESCHICHTEN: Eine Kooperation mit dem Verein Solinetz Winterthur' (121) wurde von MES nicht unterstuetzt. Die drei Unterstuetzer verfuegten zusammen ueber ein Budget von 2660.55 CHF, was nicht ausreichte, um die erforderlichen 7000 CHF zu decken.","The project 'GERICHTE UND GESCHICHTEN: A cooperation with the association Solinetz Winterthur' (121) was not funded by MES. Its three supporters had a combined budget of 2,660.55 CHF, which was not enough to cover the required 7,000 CHF.",1,2,4,0
